,method,eps,fake_iou,perturbation,lb_box,ub_box,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
19,IBP+backward (CROWN-IBP),0.00023999999999999998,False,CGT_brightness_clamp,"[152.72174, 100.49815, 177.11192, 120.48477]","[157.89772, 104.92758, 184.53674, 123.437256]","[0.32850033742208457, 1]",5.1975250244140625e-05,"[0.5800957083702087, 1.0]",0.0066509246826171875
20,IBP+backward (CROWN-IBP),0.0003,False,whitenoise,"[151.49873, 99.526985, 175.86026, 119.95375]","[159.01862, 105.94063, 185.98853, 124.25336]","[0.21535864740139243, 1]",6.29425048828125e-05,"[0.4724162817001343, 1.0]",0.0077021121978759766
21,IBP+backward (CROWN-IBP),0.0003,False,brightness,"[152.91695, 100.084236, 177.33488, 120.56985]","[157.53581, 105.425316, 184.40016, 123.66901]","[0.3253066330529334, 1]",5.507469177246094e-05,"[0.5688815712928772, 1.0]",0.007477998733520508
22,IBP+backward (CROWN-IBP),0.0003,False,CGT_brightness,"[151.49873, 99.526985, 175.86026, 119.95375]","[159.01862, 105.94063, 185.98853, 124.25336]","[0.21535864740139243, 1]",5.3882598876953125e-05,"[0.4724162817001343, 1.0]",0.007288932800292969
23,IBP+backward (CROWN-IBP),0.0003,False,CGT_brightness_clamp,"[151.49873, 99.526985, 175.86026, 119.95375]","[159.01862, 105.94063, 185.98853, 124.25336]","[0.21535864740139243, 1]",5.412101745605469e-05,"[0.4724162817001343, 1.0]",0.0068950653076171875
24,IBP+backward (CROWN-IBP),0.00035999999999999997,False,whitenoise,"[150.17755, 98.45111, 174.5094, 119.342896]","[160.2653, 107.018524, 187.58594, 125.1366]","[0.13485414791610678, 1]",6.29425048828125e-05,"[0.36644446849823, 1.0]",0.007806062698364258
25,IBP+backward (CROWN-IBP),0.00035999999999999997,False,brightness,"[151.86296, 99.11881, 176.27034, 120.07925]","[158.49176, 106.40592, 185.68292, 124.441895]","[0.22253148431650818, 1]",5.698204040527344e-05,"[0.4774685204029083, 1.0]",0.007527828216552734
26,IBP+backward (CROWN-IBP),0.00035999999999999997,False,CGT_brightness,"[150.17755, 98.45111, 174.5094, 119.342896]","[160.2653, 107.018524, 187.58594, 125.1366]","[0.13485414791610678, 1]",5.507469177246094e-05,"[0.36644446849823, 1.0]",0.007402896881103516
27,IBP+backward (CROWN-IBP),0.00035999999999999997,False,CGT_brightness_clamp,"[150.17755, 98.45111, 174.5094, 119.342896]","[160.2653, 107.018524, 187.58594, 125.1366]","[0.13485414791610678, 1]",5.078315734863281e-05,"[0.36644446849823, 1.0]",0.006494283676147461
28,IBP+backward (CROWN-IBP),0.00041999999999999996,False,whitenoise,"[148.74022, 97.31775, 173.04616, 118.62563]","[161.64676, 108.18592, 189.33292, 126.08403]","[0.07789622771312, 1]",6.198883056640625e-05,"[0.24841567873954773, 1.0]",0.007818937301635742
29,IBP+backward (CROWN-IBP),0.00041999999999999996,False,brightness,"[150.6941, 98.095825, 175.09457, 119.481705]","[159.5809, 107.47567, 187.11392, 125.27886]","[0.14519561812358095, 1]",5.817413330078125e-05,"[0.38240674138069153, 1.0]",0.007489919662475586
