,method,eps,fake_iou,perturbation,lb_box,ub_box,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),0.0,False,whitenoise,"[65.2478, 91.63695, 90.06029, 112.29341]","[65.2478, 91.63695, 90.06029, 112.29341]","[0.9134497259389366, 0.9134497259389366]",6.389617919921875e-05,"[0.9134497046470642, 0.9134497]",0.00770115852355957
1,IBP+backward (CROWN-IBP),0.0,False,brightness,"[65.2478, 91.63695, 90.06029, 112.29341]","[65.2478, 91.63695, 90.06029, 112.29341]","[0.9134497259389366, 0.9134497259389366]",5.698204040527344e-05,"[0.9134497046470642, 0.9134497]",0.007415056228637695
2,IBP+backward (CROWN-IBP),0.0,False,contrast,"[65.2478, 91.63695, 90.06029, 112.29341]","[65.2478, 91.63695, 90.06029, 112.29341]","[0.9134497259389366, 0.9134497259389366]",5.602836608886719e-05,"[0.9134497046470642, 0.9134497]",0.007018089294433594
3,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness,"[65.2478, 91.63695, 90.06029, 112.29341]","[65.2478, 91.63695, 90.06029, 112.29341]","[0.9134497259389366, 0.9134497259389366]",4.696846008300781e-05,"[0.9134497046470642, 0.9134497]",0.006276130676269531
4,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness_clamp,"[65.2478, 91.63695, 90.06029, 112.29341]","[65.2478, 91.63695, 90.06029, 112.29341]","[0.9134497259389366, 0.9134497259389366]",4.7206878662109375e-05,"[0.9134497046470642, 0.9134497]",0.006208896636962891
5,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,whitenoise,"[65.077705, 91.54065, 89.8905, 112.07265]","[65.45918, 91.766464, 90.304794, 112.41295]","[0.8650706913639991, 0.9643132654006904]",6.29425048828125e-05,"[0.886718213558197, 0.93982697]",0.007668018341064453
6,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,brightness,"[65.23956, 91.63017, 90.04919, 112.18123]","[65.298386, 91.67729, 90.1478, 112.30451]","[0.9022615857563842, 0.9233593752973447]",5.602836608886719e-05,"[0.90627521276474, 0.91923386]",0.007261037826538086
7,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,contrast,"[65.24449, 91.634674, 90.05757, 112.29107]","[65.251144, 91.63922, 90.06323, 112.29578]","[0.912594755745815, 0.9142957438324817]",5.507469177246094e-05,"[0.9130218625068665, 0.91386765]",0.007005929946899414
8,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,CGT_brightness,"[65.077705, 91.54065, 89.8905, 112.07265]","[65.45918, 91.766464, 90.304794, 112.41295]","[0.8650706913639991, 0.9643132654006904]",4.673004150390625e-05,"[0.886718213558197, 0.93982697]",0.006179094314575195
9,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,CGT_brightness_clamp,"[65.077705, 91.54065, 89.8905, 112.07265]","[65.45918, 91.766464, 90.304794, 112.41295]","[0.8650706913639991, 0.9643132654006904]",4.673004150390625e-05,"[0.886718213558197, 0.93982697]",0.00621795654296875
10,IBP+backward (CROWN-IBP),0.00011999999999999999,False,whitenoise,"[64.89701, 91.43944, 89.70853, 111.77151]","[65.91977, 92.000305, 90.89218, 112.61195]","[0.7841919450026414, 1]",6.198883056640625e-05,"[0.8342304229736328, 0.9720988]",0.00746607780456543
11,IBP+backward (CROWN-IBP),0.00011999999999999999,False,brightness,"[65.22019, 91.61836, 90.02528, 111.98852]","[65.59137, 91.82211, 90.57161, 112.395065]","[0.8515727244771443, 0.952392042791096]",5.507469177246094e-05,"[0.8714911937713623, 0.9297017]",0.007088899612426758
12,IBP+backward (CROWN-IBP),0.00011999999999999999,False,contrast,"[65.2401, 91.632, 90.053764, 112.248825]","[65.27229, 91.65436, 90.096985, 112.29927]","[0.9081697836745575, 0.9181757255698199]",4.792213439941406e-05,"[0.9102395176887512, 0.9160793]",0.00613093376159668
13,IBP+backward (CROWN-IBP),0.00011999999999999999,False,CGT_brightness,"[64.89701, 91.43944, 89.70853, 111.77151]","[65.91977, 92.000305, 90.89218, 112.61195]","[0.7841919450026414, 1]",4.696846008300781e-05,"[0.8342304229736328, 0.9720988]",0.006159067153930664
14,IBP+backward (CROWN-IBP),0.00011999999999999999,False,CGT_brightness_clamp,"[64.89701, 91.43944, 89.70853, 111.77151]","[65.91977, 92.000305, 90.89218, 112.61195]","[0.7841919450026414, 1]",4.696846008300781e-05,"[0.8342304229736328, 0.9720988]",0.006612062454223633
15,IBP+backward (CROWN-IBP),0.00017999999999999998,False,whitenoise,"[64.705826, 91.33282, 89.51518, 111.39118]","[66.547455, 92.32977, 91.68719, 112.86894]","[0.669784415711991, 1]",6.413459777832031e-05,"[0.7687903642654419, 0.9919069]",0.007565975189208984
16,IBP+backward (CROWN-IBP),0.00017999999999999998,False,brightness,"[65.189865, 91.60098, 89.989395, 111.71673]","[66.048065, 92.06271, 91.1963, 112.5439]","[0.7768129159137928, 0.9996084433645427]",5.793571472167969e-05,"[0.8206969499588013, 0.943179]",0.007275104522705078
17,IBP+backward (CROWN-IBP),0.00017999999999999998,False,contrast,"[65.235115, 91.628815, 90.04927, 112.19949]","[65.29756, 91.672424, 90.13707, 112.30371]","[0.9029305035633635, 0.9227735979420552]",5.5789947509765625e-05,"[0.9069274067878723, 0.9186735]",0.007320880889892578
18,IBP+backward (CROWN-IBP),0.00017999999999999998,False,CGT_brightness,"[64.705826, 91.33282, 89.51518, 111.39118]","[66.547455, 92.32977, 91.68719, 112.86894]","[0.669784415711991, 1]",5.4836273193359375e-05,"[0.7687903642654419, 0.9919069]",0.006955146789550781
19,IBP+backward (CROWN-IBP),0.00017999999999999998,False,CGT_brightness_clamp,"[64.705826, 91.33282, 89.51518, 111.39118]","[66.547455, 92.32977, 91.68719, 112.86894]","[0.669784415711991, 1]",4.8160552978515625e-05,"[0.7687903642654419, 0.9919069]",0.006172895431518555
20,IBP+backward (CROWN-IBP),0.00023999999999999998,False,whitenoise,"[64.504425, 91.18446, 89.25014, 110.98966]","[67.54611, 92.731705, 92.80147, 113.17208]","[0.5382103218390633, 1]",6.604194641113281e-05,"[0.6868842840194702, 0.9991112]",0.007658958435058594
21,IBP+backward (CROWN-IBP),0.00023999999999999998,False,brightness,"[65.14898, 91.54107, 89.8813, 111.42308]","[66.85961, 92.376434, 92.122856, 112.738976]","[0.6632696089904843, 1]",5.817413330078125e-05,"[0.7498083114624023, 0.9515202]",0.007259845733642578
22,IBP+backward (CROWN-IBP),0.00023999999999999998,False,contrast,"[65.22907, 91.62533, 90.04375, 112.14977]","[65.324135, 91.69171, 90.17842, 112.309494]","[0.8973901476281838, 0.9276660458580128]",5.91278076171875e-05,"[0.9034292697906494, 0.9213871]",0.00744175910949707
23,IBP+backward (CROWN-IBP),0.00023999999999999998,False,CGT_brightness,"[64.504425, 91.18446, 89.25014, 110.98966]","[67.54611, 92.731705, 92.80147, 113.17208]","[0.5382103218390633, 1]",5.602836608886719e-05,"[0.6868842840194702, 0.9991112]",0.006935834884643555
24,IBP+backward (CROWN-IBP),0.00023999999999999998,False,CGT_brightness_clamp,"[64.504425, 91.18446, 89.25014, 110.98966]","[67.54611, 92.731705, 92.80147, 113.17208]","[0.5382103218390633, 1]",4.887580871582031e-05,"[0.6868842840194702, 0.9991112]",0.006453990936279297
25,IBP+backward (CROWN-IBP),0.0003,False,whitenoise,"[64.27184, 90.9389, 88.89041, 110.48405]","[68.92536, 93.20378, 94.168304, 113.6935]","[0.4079753461022403, 1]",6.389617919921875e-05,"[0.5918510556221008, 1.0]",0.007475376129150391
26,IBP+backward (CROWN-IBP),0.0003,False,brightness,"[65.07707, 91.38424, 89.678894, 111.02609]","[68.048386, 92.760765, 93.29801, 113.152916]","[0.5352611843614815, 1]",5.602836608886719e-05,"[0.6605547666549683, 0.96934474]",0.0072591304779052734
27,IBP+backward (CROWN-IBP),0.0003,False,contrast,"[65.22217, 91.62134, 90.03744, 112.09873]","[65.37268, 91.71909, 90.24969, 112.32333]","[0.8882943138190939, 0.9339474329371912]",5.602836608886719e-05,"[0.8974352478981018, 0.9242547]",0.00674891471862793
28,IBP+backward (CROWN-IBP),0.0003,False,CGT_brightness,"[64.27184, 90.9389, 88.89041, 110.48405]","[68.92536, 93.20378, 94.168304, 113.6935]","[0.4079753461022403, 1]",4.7206878662109375e-05,"[0.5918510556221008, 1.0]",0.0060558319091796875
29,IBP+backward (CROWN-IBP),0.0003,False,CGT_brightness_clamp,"[64.27184, 90.9389, 88.89041, 110.48405]","[68.92536, 93.20378, 94.168304, 113.6935]","[0.4079753461022403, 1]",4.7206878662109375e-05,"[0.5918510556221008, 1.0]",0.006070852279663086
