,0,1
0,1,3.921077013015747
1,2,3.6436188220977783
2,3,3.756989002227783
3,4,3.692333936691284
4,5,3.7588250637054443
5,6,3.963036298751831
6,7,4.0149030685424805
7,8,4.169783115386963
8,9,4.131901264190674
9,10,4.335206031799316
10,11,4.042969226837158
11,12,4.010494232177734
12,13,4.2075207233428955
13,14,3.9340338706970215
14,15,4.47278904914856
15,16,4.083153963088989
16,17,4.1248860359191895
17,18,4.115458011627197
18,19,3.909524917602539
19,20,3.959444999694824
20,21,4.02080512046814
21,22,3.891263008117676
22,23,4.029419898986816
23,24,3.995568037033081
24,25,4.013027906417847
25,26,3.9680428504943848
26,27,4.292945146560669
27,28,4.2633538246154785
28,29,4.195440053939819
29,30,4.128952264785767
30,31,4.002589225769043
31,32,4.065378189086914
32,33,3.898228883743286
33,34,4.100099802017212
34,35,4.0213141441345215
35,36,4.084334850311279
36,37,4.170376777648926
37,38,4.16317081451416
38,39,4.042660236358643
39,40,3.9654500484466553
