,method,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,6,0,0.0,True,contrast,"[[28.566608, 42.384357, 55.558987, 69.623825], [28.566608, 42.384357, 55.558987, 69.623825]]",0.11997389793395996,0.012606620788574219,"[0, 1]",0.0,"[0, 1]",0.0
1,IBP,6,0,0.02,True,contrast,"[[14.334587, 28.38037, 35.762188, 48.97], [43.78237, 56.3579, 76.95665, 90]]",0.08754301071166992,0.001705169677734375,"[0, 1]",0.0,"[0, 1]",0.0
2,IBP,6,0,0.04,True,contrast,"[[0.569113, 14.976946, 16.981384, 29.729107], [60.29243, 70.55479, 90, 90]]",0.09346938133239746,0.0019881725311279297,"[0, 1]",0.0,"[0, 1]",0.0
3,IBP,6,0,0.06,True,contrast,"[[0, 3.596226, 2.3424184, 14.673596], [76.67224, 84.81934, 90, 90]]",0.10204601287841797,0.0018100738525390625,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP,6,0,0.08,True,contrast,"[[0, 0, 0, 4.0193295], [90, 90, 90, 90]]",0.09196138381958008,0.0017063617706298828,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP,6,0,0.1,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.0933382511138916,0.002276182174682617,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,6,0,0.12,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.10127115249633789,0.0018088817596435547,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,6,0,0.14,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.10642862319946289,0.0017948150634765625,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,6,0,0.16,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.09821248054504395,0.001817941665649414,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,6,0,0.18,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.08591938018798828,0.0017278194427490234,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,6,0,0.2,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.09839510917663574,0.002000093460083008,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP+backward (CROWN-IBP),6,0,0.0,True,contrast,"[[28.566607, 42.384354, 55.55899, 69.623825], [28.566607, 42.384354, 55.55899, 69.623825]]",0.12350726127624512,0.013068914413452148,"[0, 1]",0.0,"[0, 1]",0.0
12,IBP+backward (CROWN-IBP),6,0,0.02,False,contrast,"[[27.736187, 41.48956, 54.52325, 68.47073], [29.995745, 43.265247, 57.6174, 71.15699]]",0.12583494186401367,0.014011144638061523,"[0.5875175923910849, 1]",7.510185241699219e-05,"[0.7885556817054749, 1.0]",0.010872364044189453
13,IBP+backward (CROWN-IBP),6,0,0.04,False,contrast,"[[25.854486, 39.81554, 52.402573, 66.401245], [33.23855, 45.827995, 62.41203, 75.347885]]",0.11949825286865234,0.012824058532714844,"[0.23347201798364495, 1]",7.009506225585938e-05,"[0.5024528503417969, 1.0]",0.01057291030883789
14,IBP+backward (CROWN-IBP),6,0,0.06,False,contrast,"[[23.210224, 37.410168, 49.759495, 63.746487], [38.416214, 50.395164, 70.35545, 83.094406]]",0.11521673202514648,0.012809038162231445,"[0.054353547362390925, 1]",7.009506225585938e-05,"[0.19317321479320526, 1.0]",0.010555028915405273
15,IBP+backward (CROWN-IBP),6,0,0.08,False,contrast,"[[20.222141, 34.696636, 46.578667, 60.766266], [45.52878, 56.47222, 81.32539, 90]]",0.12143397331237793,0.01281881332397461,"[0.0010840513617202002, 1]",8.106231689453125e-05,"[0.0057503217831254005, 1.0]",0.010517597198486328
16,IBP+backward (CROWN-IBP),6,0,0.1,True,contrast,"[[18.015312, 32.32247, 44.092155, 58.12002], [53.688755, 63.56084, 90, 90]]",0.13735485076904297,0.001968860626220703,"[0, 1]",0.0,"[0, 1]",0.0
17,IBP+backward (CROWN-IBP),6,0,0.12,True,contrast,"[[14.705717, 28.989796, 40.68316, 54.54271], [62.920414, 71.96698, 90, 90]]",0.12059617042541504,0.0017976760864257812,"[0, 1]",0.0,"[0, 1]",0.0
18,IBP+backward (CROWN-IBP),6,0,0.14,True,contrast,"[[11.039993, 25.537905, 36.895992, 50.84187], [72.92019, 81.46418, 90, 90]]",0.12231183052062988,0.0045146942138671875,"[0, 1]",0.0,"[0, 1]",0.0
19,IBP+backward (CROWN-IBP),6,0,0.16,True,contrast,"[[7.4668612, 22.324074, 33.252712, 47.411243], [82.930214, 90, 90, 90]]",0.12618422508239746,0.0019276142120361328,"[0, 1]",0.0,"[0, 1]",0.0
20,IBP+backward (CROWN-IBP),6,0,0.18,True,contrast,"[[3.7569003, 18.853508, 29.520115, 43.70774], [90, 90, 90, 90]]",0.1293201446533203,0.001886129379272461,"[0, 1]",0.0,"[0, 1]",0.0
21,IBP+backward (CROWN-IBP),6,0,0.2,True,contrast,"[[0, 15.362253, 25.667408, 39.86681], [90, 90, 90, 90]]",0.15315651893615723,0.0019183158874511719,"[0, 1]",0.0,"[0, 1]",0.0
22,backward (CROWN),6,0,0.0,True,contrast,"[[28.566607, 42.384354, 55.55899, 69.623825], [28.566607, 42.384354, 55.55899, 69.623825]]",0.4687628746032715,0.01471090316772461,"[0, 1]",0.0,"[0, 1]",0.0
23,backward (CROWN),6,0,0.02,True,contrast,"[[28.551962, 42.32827, 55.481033, 69.49694], [28.602354, 42.421444, 55.603043, 69.721565]]",0.5013155937194824,0.012930870056152344,"[0, 1]",0.0,"[0, 1]",0.0
24,backward (CROWN),6,0,0.04,True,contrast,"[[28.452223, 42.19443, 55.28257, 69.25673], [28.673862, 42.460846, 55.64811, 69.821236]]",0.50081467628479,0.012583017349243164,"[0, 1]",0.0,"[0, 1]",0.0
25,backward (CROWN),6,0,0.06,True,contrast,"[[28.291662, 41.994854, 54.99591, 68.90411], [28.822994, 42.58307, 55.858456, 69.9712]]",0.578909158706665,0.014592409133911133,"[0, 1]",0.0,"[0, 1]",0.0
26,backward (CROWN),6,0,0.08,False,contrast,"[[27.926813, 41.6894, 54.52359, 68.44766], [29.041498, 42.835503, 56.197792, 70.25743]]",0.5621421337127686,0.012808799743652344,"[0.6950532845058053, 1]",7.033348083496094e-05,"[0.8324636220932007, 1.0]",0.010526418685913086
27,backward (CROWN),6,0,0.1,False,contrast,"[[27.382334, 41.10056, 53.80993, 67.637184], [29.676495, 43.338062, 57.185535, 71.11714]]",0.5915539264678955,0.013219594955444336,"[0.5369326802613912, 1]",7.295608520507812e-05,"[0.7479863166809082, 1.0]",0.010671615600585938
