,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),9,0.0,True,whitenoise,"[[218.43022, 110.678444, 256, 128.23325], [218.43022, 110.678444, 256, 128.23325]]",0.44281888008117676,0.012487173080444336,"[0, 1]",0.0,"[0, 1]",0.0
1,backward (CROWN),9,0.0002,False,whitenoise,"[[217.5552, 110.34678, 256, 127.86119], [219.30603, 111.01427, 256, 128.60983]]",0.8921668529510498,0.010249853134155273,"[0.7176632011125585, 0.9333927026622023]",8.392333984375e-05,"[0.7708054664201845, 0.8672620122230584]",0.00811910629272461
2,backward (CROWN),9,0.0004,False,whitenoise,"[[216.66156, 110.009834, 255.906, 127.48299], [220.2053, 111.361565, 256, 128.99957]]",1.1266801357269287,0.010232925415039062,"[0.6270450899448275, 1]",8.082389831542969e-05,"[0.7219907641410828, 0.9025149272401215]",0.008208274841308594
3,backward (CROWN),9,0.0006000000000000001,False,whitenoise,"[[215.74376, 109.66618, 254.84329, 127.09708], [221.12575, 111.71913, 256, 129.40088]]",1.2991969585418701,0.011430978775024414,"[0.5253814290413933, 1]",9.393692016601562e-05,"[0.6581465601921082, 0.9399651469732182]",0.009286880493164062
4,backward (CROWN),9,0.0008,False,whitenoise,"[[214.80112, 109.316605, 253.71976, 126.70411], [222.06749, 112.10986, 256, 129.83185]]",1.595823049545288,0.01093602180480957,"[0.42458173393319765, 1]",9.012222290039062e-05,"[0.5954281687736511, 0.9556137558963398]",0.0087890625
5,backward (CROWN),9,0.001,False,whitenoise,"[[213.8367, 108.96056, 252.53212, 126.30353], [223.03215, 112.53929, 256, 130.29639]]",1.9515480995178223,0.011261940002441406,"[0.3388587851499753, 1]",8.988380432128906e-05,"[0.5338033437728882, 0.9556137558963398]",0.009083986282348633
6,backward (CROWN),9,0.0012000000000000001,False,whitenoise,"[[212.84958, 108.598114, 251.3129, 125.89548], [224.02621, 112.985466, 256, 130.77898]]",2.202810049057007,0.009953022003173828,"[0.26899798953031573, 1]",7.915496826171875e-05,"[0.47502800822257996, 0.9556137558963398]",0.008026123046875
7,backward (CROWN),9,0.0014,False,whitenoise,"[[211.82394, 108.231834, 250.04514, 125.47917], [225.044, 113.44998, 256, 131.28091]]",2.3630409240722656,0.009937047958374023,"[0.21146337234598225, 1]",7.915496826171875e-05,"[0.418777734041214, 0.9556137558963398]",0.008054971694946289
8,backward (CROWN),9,0.0016,False,whitenoise,"[[210.76007, 107.85736, 248.71642, 125.05362], [226.09895, 113.940155, 256, 131.80835]]",2.536201238632202,0.011226177215576172,"[0.16354794748710194, 1]",9.202957153320312e-05,"[0.35667499899864197, 0.9556137558963398]",0.008989095687866211
9,backward (CROWN),9,0.0018000000000000002,False,whitenoise,"[[209.65747, 107.475845, 247.3275, 124.6198], [227.19359, 114.461044, 256, 132.3653]]",2.6747758388519287,0.010844230651855469,"[0.12368865177667794, 1]",8.916854858398438e-05,"[0.2902337312698364, 0.9556137558963398]",0.008623838424682617
10,backward (CROWN),9,0.002,False,whitenoise,"[[208.51715, 107.08821, 245.88676, 124.17679], [228.33142, 115.01025, 256, 132.95045]]",2.798917770385742,0.010138988494873047,"[0.09082299590201752, 1]",8.416175842285156e-05,"[0.22834643721580505, 0.9556137558963398]",0.008054018020629883
