,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),17,0.0,False,whitenoise,"[[123.60298, 122.64212, 142.59486, 141.08212], [123.60298, 122.64212, 142.59486, 141.08212]]",0.4043581485748291,0.01070404052734375,"[0.8796579238970109, 0.8796579238970109]",7.414817810058594e-05,"[0.8796579241752625, 0.8796579]",0.008579015731811523
1,backward (CROWN),17,0.0002,False,whitenoise,"[[122.519485, 122.21571, 141.47269, 140.6183], [124.68513, 123.06932, 143.71953, 141.54576]]",0.6870100498199463,0.010190010070800781,"[0.6116026015544538, 1]",7.390975952148438e-05,"[0.7519505023956299, 0.9604702]",0.00816488265991211
2,backward (CROWN),17,0.0004,False,whitenoise,"[[121.39365, 121.78251, 140.3221, 140.14612], [125.79323, 123.51242, 144.88403, 142.0225]]",0.9894349575042725,0.010381937026977539,"[0.41295395057341594, 1]",9.202957153320312e-05,"[0.6414922475814819, 1.0]",0.008242130279541016
3,backward (CROWN),17,0.0006000000000000001,False,whitenoise,"[[120.2324, 121.3426, 139.13527, 139.66568], [126.92529, 123.970535, 146.07436, 142.51538]]",1.270561695098877,0.009413003921508789,"[0.2710754580407922, 1]",6.508827209472656e-05,"[0.5256937742233276, 1.0]",0.007468700408935547
4,backward (CROWN),17,0.0008,False,whitenoise,"[[119.01734, 120.896576, 137.89548, 139.17761], [128.08386, 124.44263, 147.29425, 143.0231]]",1.7184488773345947,0.010226011276245117,"[0.17365434588841697, 1]",7.224082946777344e-05,"[0.41062140464782715, 1.0]",0.008200883865356445
5,backward (CROWN),17,0.001,False,whitenoise,"[[117.7597, 120.44302, 136.61348, 138.68146], [129.28094, 124.933624, 148.55487, 143.55074]]",2.1288299560546875,0.009939908981323242,"[0.10476197793305042, 1]",6.985664367675781e-05,"[0.2868357002735138, 1.0]",0.007940053939819336
6,backward (CROWN),17,0.0012000000000000001,False,whitenoise,"[[116.46181, 119.98018, 135.28934, 138.17485], [130.52812, 125.44957, 149.86665, 144.1034]]",2.3689591884613037,0.01034998893737793,"[0.05524617138832239, 1]",7.510185241699219e-05,"[0.17239710688591003, 1.0]",0.008318901062011719
7,backward (CROWN),17,0.0014,False,whitenoise,"[[115.10744, 119.50805, 133.91159, 137.65747], [131.82991, 125.98644, 151.23398, 144.67944]]",2.698460817337036,0.010113954544067383,"[0.019648432479050657, 1]",7.295608520507812e-05,"[0.06913021951913834, 1.0]",0.008080005645751953
8,backward (CROWN),17,0.0016,True,whitenoise,"[[113.673706, 119.02467, 132.45448, 137.12617], [133.18898, 126.55209, 152.65923, 145.28616]]",2.9998598098754883,0.0015418529510498047,"[0, 1]",0.0,"[0, 1]",0.0
9,backward (CROWN),17,0.0018000000000000002,True,whitenoise,"[[112.17037, 118.52949, 130.92789, 136.58093], [134.61516, 127.148575, 154.1543, 145.92575]]",3.1525797843933105,0.0017821788787841797,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),17,0.002,True,whitenoise,"[[110.6016, 118.02139, 129.33505, 136.01645], [136.1081, 127.78522, 155.71957, 146.60272]]",3.847698211669922,0.0016100406646728516,"[0, 1]",0.0,"[0, 1]",0.0
