,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,50,0,0.0,False,whitenoise,"[[11.972084, 6.5321226, 40.230053, 34.706608], [11.972084, 6.5321226, 40.230053, 34.706608]]",0.29772281646728516,0.009438037872314453,"[0.883258128091073, 0.883258128091073]",6.079673767089844e-05,"[0.8832581043243408, 0.8832581]",0.0073931217193603516
1,50,0,0.0,False,brightness,"[[11.972084, 6.5321226, 40.230053, 34.706608], [11.972084, 6.5321226, 40.230053, 34.706608]]",0.29772281646728516,0.018201112747192383,"[0.883258128091073, 0.883258128091073]",5.2928924560546875e-05,"[0.8832581043243408, 0.8832581]",0.007109165191650391
2,50,0,0.0,False,contrast,"[[11.972084, 6.5321226, 40.230053, 34.706608], [11.972084, 6.5321226, 40.230053, 34.706608]]",0.29772281646728516,0.02701425552368164,"[0.883258128091073, 0.883258128091073]",5.507469177246094e-05,"[0.8832581043243408, 0.8832581]",0.007120847702026367
3,50,0,5.6e-05,False,whitenoise,"[[11.87879, 6.450325, 40.07635, 34.574875], [12.269451, 6.6973467, 40.904316, 35.249496]]",0.28763389587402344,0.009392023086547852,"[0.8190536523908581, 0.9112450561184425]",6.103515625e-05,"[0.8362613320350647, 0.89538854]",0.007345914840698242
4,50,0,5.6e-05,False,brightness,"[[11.890907, 6.4572754, 40.100647, 34.594215], [12.264377, 6.693624, 40.898544, 35.245255]]",0.28763389587402344,0.018121957778930664,"[0.8203111034468609, 0.9091618273718717]",5.412101745605469e-05,"[0.8367931246757507, 0.8938342]",0.007080793380737305
5,50,0,5.6e-05,False,contrast,"[[11.890907, 6.4572754, 40.100647, 34.594215], [12.264377, 6.693624, 40.898544, 35.245255]]",0.28763389587402344,0.026890039443969727,"[0.8203111034468609, 0.9091618273718717]",5.3882598876953125e-05,"[0.8367931246757507, 0.8938342]",0.007130146026611328
6,50,0,0.000112,False,whitenoise,"[[11.768976, 6.358139, 39.903538, 34.430264], [12.580451, 6.871174, 41.61462, 35.82318]]",0.30767393112182617,0.009808063507080078,"[0.7519041768725885, 0.9430421974490962]",6.175041198730469e-05,"[0.788895308971405, 0.9052538]",0.007695913314819336
7,50,0,0.000112,False,brightness,"[[11.793231, 6.3721247, 39.952316, 34.469234], [12.570392, 6.8637605, 41.60325, 35.81493]]",0.30767393112182617,0.019144058227539062,"[0.7564881666524298, 0.9386513674292771]",5.698204040527344e-05,"[0.7898682355880737, 0.9035823]",0.007600069046020508
8,50,0,0.000112,False,contrast,"[[11.793231, 6.3721247, 39.952316, 34.469234], [12.570392, 6.8637605, 41.60325, 35.81493]]",0.30767393112182617,0.028176069259643555,"[0.7564881666524298, 0.9386513674292771]",5.507469177246094e-05,"[0.7898682355880737, 0.9035823]",0.00729823112487793
9,50,0,0.000168,False,whitenoise,"[[11.643283, 6.2541976, 39.70712, 34.267235], [12.907234, 7.0512934, 42.356632, 36.42955]]",0.289841890335083,0.00966501235961914,"[0.6848997218034446, 0.9795695118331315]",6.198883056640625e-05,"[0.7430348992347717, 0.913848]",0.007554054260253906
