,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,279,0,0.0,False,whitenoise,"[[56.864185, 11.558291, 84.208206, 38.980476], [56.864185, 11.558291, 84.208206, 38.980476]]",0.3346831798553467,0.012970924377441406,"[0.8789705464415789, 0.8789705464415789]",7.104873657226562e-05,"[0.8789705634117126, 0.87897056]",0.010269880294799805
1,279,0,0.0,False,brightness,"[[56.864185, 11.558291, 84.208206, 38.980476], [56.864185, 11.558291, 84.208206, 38.980476]]",0.3346831798553467,0.0250394344329834,"[0.8789705464415789, 0.8789705464415789]",6.031990051269531e-05,"[0.8789705634117126, 0.87897056]",0.009889364242553711
2,279,0,0.0,False,contrast,"[[56.864185, 11.558291, 84.208206, 38.980476], [56.864185, 11.558291, 84.208206, 38.980476]]",0.3346831798553467,0.03707575798034668,"[0.8789705464415789, 0.8789705464415789]",5.9604644775390625e-05,"[0.8789705634117126, 0.87897056]",0.009906530380249023
3,279,0,3e-05,False,whitenoise,"[[56.75437, 11.500493, 84.0605, 38.893513], [57.212845, 11.683466, 84.742386, 39.288513]]",0.3031332492828369,0.01318502426147461,"[0.8227781011951626, 0.9110008181864109]",7.200241088867188e-05,"[0.8402112722396851, 0.891351]",0.010456323623657227
4,279,0,3e-05,False,brightness,"[[56.76961, 11.506036, 84.08282, 38.905785], [57.207825, 11.680792, 84.73576, 39.28527]]",0.3031332492828369,0.025538921356201172,"[0.8240323851040561, 0.9083522514324691]",6.151199340820312e-05,"[0.8407184481620789, 0.889642]",0.010154962539672852
5,279,0,3e-05,False,contrast,"[[56.863644, 11.558279, 84.20751, 38.980362], [56.864723, 11.558305, 84.20889, 38.98059]]",0.3031332492828369,0.037786245346069336,"[0.8788971570781764, 0.879044498058946]",6.079673767089844e-05,"[0.8789297342300415, 0.87901187]",0.01006937026977539
6,279,0,6e-05,False,whitenoise,"[[56.644554, 11.442689, 83.91279, 38.80653], [57.56511, 11.80954, 85.28082, 39.598595]]",0.2921280860900879,0.013298749923706055,"[0.766541733675769, 0.9449366456015916]",7.152557373046875e-05,"[0.8033193349838257, 0.90127844]",0.010604143142700195
7,279,0,6e-05,False,brightness,"[[56.67504, 11.453769, 83.95741, 38.831074], [57.554993, 11.804202, 85.26748, 39.592094]]",0.2921280860900879,0.02556920051574707,"[0.7711273763717774, 0.9393610010207303]",6.127357482910156e-05,"[0.8042832612991333, 0.89917743]",0.010119915008544922
8,279,0,6e-05,False,contrast,"[[56.8631, 11.558267, 84.206825, 38.980247], [56.865265, 11.558318, 84.20959, 38.980705]]",0.2921280860900879,0.03785824775695801,"[0.8788228300141087, 0.879118599606216]",6.127357482910156e-05,"[0.8788884282112122, 0.879053]",0.010120391845703125
9,279,0,9e-05,False,whitenoise,"[[56.532867, 11.383617, 83.76366, 38.71847], [57.92385, 11.938605, 85.82907, 39.91582]]",0.2961595058441162,0.014014720916748047,"[0.711512933142837, 0.9814270333693307]",7.796287536621094e-05,"[0.7677755355834961, 0.90959865]",0.01107168197631836
10,279,0,9e-05,False,brightness,"[[56.578598, 11.400163, 83.83061, 38.755264], [57.90867, 11.930617, 85.80905, 39.90607]]",0.2961595058441162,0.026874542236328125,"[0.717779469684161, 0.9726149097940588]",6.437301635742188e-05,"[0.7691432237625122, 0.9064191]",0.01059412956237793
