,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,86,0,0.0,False,whitenoise,"[[3.9849024, 56.523907, 32.393845, 85.43439], [3.9849024, 56.523907, 32.393845, 85.43439]]",0.30557727813720703,0.013262033462524414,"[0.8827589134423396, 0.8827589134423396]",7.104873657226562e-05,"[0.8827589154243469, 0.8827589]",0.010524272918701172
1,86,0,0.0,False,brightness,"[[3.9849024, 56.523907, 32.393845, 85.43439], [3.9849024, 56.523907, 32.393845, 85.43439]]",0.30557727813720703,0.025632143020629883,"[0.8827589134423396, 0.8827589134423396]",6.198883056640625e-05,"[0.8827589154243469, 0.8827589]",0.01016998291015625
2,86,0,0.0,False,contrast,"[[3.9849024, 56.523907, 32.393845, 85.43439], [3.9849024, 56.523907, 32.393845, 85.43439]]",0.30557727813720703,0.038001298904418945,"[0.8827589134423396, 0.8827589134423396]",6.151199340820312e-05,"[0.8827589154243469, 0.8827589]",0.010181427001953125
3,86,0,3e-05,False,whitenoise,"[[3.921445, 56.410202, 32.302414, 85.28578], [4.1352377, 56.881577, 32.723232, 85.973404]]",0.31624650955200195,0.01328730583190918,"[0.8271917770481142, 0.9337032999038191]",7.605552673339844e-05,"[0.8517612218856812, 0.90559244]",0.010506153106689453
4,86,0,3e-05,False,brightness,"[[3.9276752, 56.424862, 32.314587, 85.307434], [4.1322455, 56.876755, 32.71963, 85.96704]]",0.31624650955200195,0.025473594665527344,"[0.8289652056341137, 0.9311733045870139]",6.151199340820312e-05,"[0.8526187539100647, 0.9042571]",0.010043144226074219
5,86,0,3e-05,False,contrast,"[[3.9845123, 56.523155, 32.39363, 85.43336], [3.9852142, 56.524406, 32.393982, 85.43509]]",0.31624650955200195,0.03760170936584473,"[0.8826571447835954, 0.8828733632582347]",6.151199340820312e-05,"[0.8827043771743774, 0.8828261]",0.009981632232666016
6,86,0,6e-05,False,whitenoise,"[[3.857871, 56.296463, 32.21092, 85.137115], [4.2924232, 57.24546, 33.060616, 86.517105]]",0.30973315238952637,0.01324319839477539,"[0.7757141735769191, 0.9856478666889094]",6.961822509765625e-05,"[0.8217577934265137, 0.9275964]",0.010560035705566406
7,86,0,6e-05,False,brightness,"[[3.8703234, 56.32579, 32.23526, 85.180435], [4.2863817, 57.2358, 33.053345, 86.50433]]",0.30973315238952637,0.02562689781188965,"[0.7789616594403416, 0.9806800848064792]",6.151199340820312e-05,"[0.8233981728553772, 0.9250689]",0.010175466537475586
8,86,0,6e-05,False,contrast,"[[3.9841194, 56.52237, 32.3934, 85.432304], [3.985528, 56.524902, 32.39412, 85.43579]]",0.30973315238952637,0.037953853607177734,"[0.8825534489006259, 0.8829911220137088]",6.079673767089844e-05,"[0.8826494812965393, 0.88289505]",0.010156393051147461
9,86,0,9e-05,False,whitenoise,"[[3.7929087, 56.18093, 32.117947, 84.98625], [4.4523916, 57.61915, 33.40424, 87.07334]]",0.3020360469818115,0.013278722763061523,"[0.7274921069036943, 1]",7.343292236328125e-05,"[0.7923327088356018, 0.9414362]",0.010447978973388672
10,86,0,9e-05,False,brightness,"[[3.8115873, 56.224934, 32.15447, 85.05124], [4.4433117, 57.604683, 33.39334, 87.054245]]",0.3020360469818115,0.02542400360107422,"[0.7319502423837282, 1]",6.008148193359375e-05,"[0.7946815490722656, 0.93757534]",0.010003089904785156
11,86,0,9e-05,False,contrast,"[[3.9836712, 56.521584, 32.393147, 85.431244], [3.9858418, 56.525482, 32.39425, 85.4366]]",0.3020360469818115,0.03746747970581055,"[0.8824388933763297, 0.8831119228279021]",6.008148193359375e-05,"[0.8825865387916565, 0.88296425]",0.009916067123413086
12,86,0,0.00012,False,whitenoise,"[[3.7216072, 56.05366, 32.015724, 84.82022], [4.6218185, 58.02361, 33.769424, 87.672]]",0.31394529342651367,0.01321268081665039,"[0.6798189517021643, 1]",6.961822509765625e-05,"[0.7618802785873413, 0.95677954]",0.01049351692199707
13,86,0,0.00012,False,brightness,"[[3.7466586, 56.1127, 32.06478, 84.90742], [4.6099553, 58.004845, 33.755314, 87.647224]]",0.31394529342651367,0.02555108070373535,"[0.6852198502469332, 1]",6.079673767089844e-05,"[0.7648453116416931, 0.95150787]",0.010148763656616211
14,86,0,0.00012,False,contrast,"[[3.9832582, 56.52079, 32.392902, 85.43018], [3.9861565, 56.52601, 32.394382, 85.43733]]",0.31394529342651367,0.03786826133728027,"[0.8823310363313954, 0.8832315170636124]",6.175041198730469e-05,"[0.8825288414955139, 0.88303345]",0.01014566421508789
15,86,0,0.00015000000000000001,False,whitenoise,"[[3.6487236, 55.919373, 31.908606, 84.643906], [4.79307, 58.427784, 34.137497, 88.27072]]",0.3006575107574463,0.013584375381469727,"[0.6358224093200401, 1]",6.985664367675781e-05,"[0.732239305973053, 0.9703491]",0.010673046112060547
16,86,0,0.00015000000000000001,False,brightness,"[[3.6800194, 55.99353, 31.969967, 84.75343], [4.7783074, 58.4046, 34.12015, 88.240166]]",0.3006575107574463,0.026045560836791992,"[0.6419761663767272, 1]",6.103515625e-05,"[0.7346500754356384, 0.9661472]",0.010241270065307617
17,86,0,0.00015000000000000001,False,contrast,"[[3.9828396, 56.520004, 32.392662, 85.429115], [3.9864836, 56.526634, 32.3946, 85.43824]]",0.3006575107574463,0.038489580154418945,"[0.8822099602471601, 0.8833590115721098]",6.127357482910156e-05,"[0.8824627995491028, 0.88310575]",0.010222911834716797
