,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,271,0,0.0,False,whitenoise,"[[12.801218, 2.9541645, 40.113045, 31.048166], [12.801218, 2.9541645, 40.113045, 31.048166]]",0.2922477722167969,0.013028144836425781,"[0.8970730269869557, 0.8970730269869557]",7.104873657226562e-05,"[0.8970730304718018, 0.89707303]",0.01033782958984375
1,271,0,0.0,False,brightness,"[[12.801218, 2.9541645, 40.113045, 31.048166], [12.801218, 2.9541645, 40.113045, 31.048166]]",0.2922477722167969,0.0251772403717041,"[0.8970730269869557, 0.8970730269869557]",6.103515625e-05,"[0.8970730304718018, 0.89707303]",0.009995460510253906
2,271,0,0.0,False,contrast,"[[12.801218, 2.9541645, 40.113045, 31.048166], [12.801218, 2.9541645, 40.113045, 31.048166]]",0.2922477722167969,0.03730297088623047,"[0.8970730269869557, 0.8970730269869557]",6.0558319091796875e-05,"[0.8970730304718018, 0.89707303]",0.009985685348510742
3,271,0,3e-05,False,whitenoise,"[[12.72772, 2.902546, 40.010727, 30.963177], [13.009125, 3.08747, 40.527397, 31.39695]]",0.3144969940185547,0.013228654861450195,"[0.8507466836972191, 0.918307440954412]",7.486343383789062e-05,"[0.8659787774085999, 0.90560573]",0.010402441024780273
4,271,0,3e-05,False,brightness,"[[12.734939, 2.9080863, 40.024727, 30.976381], [13.006505, 3.0851235, 40.52492, 31.394558]]",0.3144969940185547,0.025331735610961914,"[0.852282147911007, 0.9168125237066038]",6.127357482910156e-05,"[0.866362452507019, 0.9049202]",0.009958744049072266
5,271,0,3e-05,False,contrast,"[[12.801008, 2.953886, 40.112892, 31.047935], [12.801428, 2.954443, 40.113194, 31.048395]]",0.3144969940185547,0.03738903999328613,"[0.8970330464022053, 0.8971131367356262]",6.079673767089844e-05,"[0.8970460295677185, 0.89710027]",0.00992894172668457
6,271,0,6e-05,False,whitenoise,"[[12.65366, 2.8507414, 39.9079, 30.878021], [13.228466, 3.2312317, 40.95891, 31.760122]]",0.30380964279174805,0.013416051864624023,"[0.8007534911714165, 0.9410567485178463]",7.367134094238281e-05,"[0.8326520323753357, 0.9113888]",0.010588645935058594
7,271,0,6e-05,False,brightness,"[[12.668048, 2.8618064, 39.935867, 30.904427], [13.223262, 3.226509, 40.953968, 31.755306]]",0.30380964279174805,0.02565932273864746,"[0.8035819811178853, 0.9379686753007035]",6.246566772460938e-05,"[0.8332152962684631, 0.91001076]",0.010078191757202148
8,271,0,6e-05,False,contrast,"[[12.800797, 2.9536085, 40.11274, 31.047707], [12.801639, 2.9547205, 40.113346, 31.048624]]",0.30380964279174805,0.03787112236022949,"[0.8969929348432895, 0.8971532571073774]",6.103515625e-05,"[0.8970190286636353, 0.8971273]",0.010051965713500977
9,271,0,9e-05,False,whitenoise,"[[12.577078, 2.7969313, 39.802536, 30.791292], [13.454815, 3.3862514, 41.412453, 32.14727]]",0.36480045318603516,0.013667106628417969,"[0.7525486997617477, 0.9655754738593902]",7.390975952148438e-05,"[0.7991445660591125, 0.9173818]",0.010686635971069336
10,271,0,9e-05,False,brightness,"[[12.598648, 2.8135283, 39.8445, 30.830898], [13.447086, 3.3792105, 41.40505, 32.140083]]",0.36480045318603516,0.025998830795288086,"[0.75644776802739, 0.960778216462862]",6.079673767089844e-05,"[0.7999418377876282, 0.9152993]",0.010173797607421875
