,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,267,0,0.0,False,whitenoise,"[[52.45218, 31.981674, 80.42039, 59.999184], [52.45218, 31.981674, 80.42039, 59.999184]]",0.3107929229736328,0.013083457946777344,"[0.9028171282607352, 0.9028171282607352]",7.486343383789062e-05,"[0.9028171300888062, 0.90281713]",0.010354280471801758
1,267,0,0.0,False,brightness,"[[52.45218, 31.981674, 80.42039, 59.999184], [52.45218, 31.981674, 80.42039, 59.999184]]",0.3107929229736328,0.025262117385864258,"[0.9028171282607352, 0.9028171282607352]",6.175041198730469e-05,"[0.9028171300888062, 0.90281713]",0.009985685348510742
2,267,0,0.0,False,contrast,"[[52.45218, 31.981674, 80.42039, 59.999184], [52.45218, 31.981674, 80.42039, 59.999184]]",0.3107929229736328,0.03735017776489258,"[0.9028171282607352, 0.9028171282607352]",6.079673767089844e-05,"[0.9028171300888062, 0.90281713]",0.009937524795532227
3,267,0,3e-05,False,whitenoise,"[[52.33721, 31.890667, 80.26947, 59.87748], [52.833317, 32.26062, 80.99591, 60.46907]]",0.2999763488769531,0.012975454330444336,"[0.8365399044440923, 0.9719142648279885]",7.033348083496094e-05,"[0.867178201675415, 0.9357388]",0.010283231735229492
4,267,0,3e-05,False,brightness,"[[52.35251, 31.901455, 80.29213, 59.89522], [52.82975, 32.25772, 80.99119, 60.46524]]",0.2999763488769531,0.025059223175048828,"[0.8387092209491842, 0.968989341522173]",6.0558319091796875e-05,"[0.8682917952537537, 0.93427676]",0.009932994842529297
5,267,0,3e-05,False,contrast,"[[52.45178, 31.98158, 80.4198, 59.99892], [52.4525, 31.981718, 80.420845, 59.999355]]",0.2999763488769531,0.037172794342041016,"[0.9027460991730885, 0.9028905377862403]",6.079673767089844e-05,"[0.9027815461158752, 0.902855]",0.00996708869934082
6,267,0,6e-05,False,whitenoise,"[[52.2201, 31.799604, 80.11774, 59.755653], [53.216213, 32.54677, 81.57418, 60.947273]]",0.304781436920166,0.012971639633178711,"[0.7764129549745801, 1]",6.937980651855469e-05,"[0.8331224322319031, 0.97054505]",0.010334968566894531
7,267,0,6e-05,False,brightness,"[[52.25068, 31.82119, 80.16301, 59.791157], [53.20908, 32.540997, 81.56475, 60.939648]]",0.304781436920166,0.025136947631835938,"[0.7803256514914325, 1]",6.0558319091796875e-05,"[0.8352381587028503, 0.9674805]",0.010023117065429688
8,267,0,6e-05,False,contrast,"[[52.451378, 31.981485, 80.41923, 59.998657], [52.452824, 31.981764, 80.42131, 59.999523]]",0.304781436920166,0.03724384307861328,"[0.9026743879137735, 0.9029631389269701]",6.127357482910156e-05,"[0.902745246887207, 0.90289223]",0.009969949722290039
9,267,0,9e-05,False,whitenoise,"[[52.094463, 31.706373, 79.960686, 59.631676], [53.605553, 32.85627, 82.16237, 61.452698]]",0.3142986297607422,0.013330221176147461,"[0.7187516563079708, 1]",7.390975952148438e-05,"[0.8001192808151245, 0.99155354]",0.010608196258544922
10,267,0,9e-05,False,brightness,"[[52.14026, 31.73876, 80.02855, 59.684933], [53.59502, 32.84769, 82.14852, 61.441456]]",0.3142986297607422,0.025733470916748047,"[0.7258751373542423, 1]",6.198883056640625e-05,"[0.8031212091445923, 0.9886265]",0.010207176208496094
11,267,0,9e-05,False,contrast,"[[52.45096, 31.981352, 80.41858, 59.998306], [52.453167, 31.981834, 80.421814, 59.99974]]",0.3142986297607422,0.0381624698638916,"[0.9025916484291406, 0.9030464031561097]",6.127357482910156e-05,"[0.9027033448219299, 0.90293455]",0.010237932205200195
