,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,optim_box,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),150,0.002,False,brightness,"[[143.50693, 106.70131, 149.90071, 114.66957], [144.5589, 107.40901, 150.80008, 115.34491]]","[144.5589, 107.40901, 150.80008, 115.34491]","[143.50693, 106.70131, 149.90071, 114.66957]",[143.47713  106.247734 149.54248  114.36858 ],"[144.5589, 150.80008, 107.40901, 115.34491]",3.8558969497680664,0.014367818832397461,"[0.44688837837067363, 1]",7.891654968261719e-05,"[0.5410722494125366, 0.8581287]",0.00929403305053711
1,backward (CROWN),150,0.01,True,brightness,"[[140.04027, 104.706184, 146.74132, 112.72332], [147.94064, 109.595764, 154.16174, 117.6452]]","[147.94064, 109.595764, 154.16174, 117.6452]","[140.04027, 104.706184, 146.74132, 112.72332]",[143.47713  106.247734 149.54248  114.36858 ],"[0, 150.80008, 0, 0]",8.887097120285034,0.0016970634460449219,"[0, 1]",0.0,"[0, 1]",0.0
2,backward (CROWN),150,0.02,True,brightness,"[[127.03751, 99.955635, 135.00491, 107.990486], [158.47523, 116.61103, 165.43979, 125.21895]]","[158.47523, 116.61103, 165.43979, 125.21895]","[127.03751, 99.955635, 135.00491, 107.990486]",[143.47713  106.247734 149.54248  114.36858 ],"[0, 150.80008, 0, 0]",12.526638984680176,0.0016429424285888672,"[0, 1]",0.0,"[0, 1]",0.0
