,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,optim_box,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),23,0.002,False,brightness,"[[143.33032, 102.69423, 167.67958, 118.98101], [144.83592, 103.439674, 169.42848, 119.87427]]","[144.83592, 103.439674, 169.42848, 119.87427]","[143.33032, 102.69423, 167.67958, 118.98101]",[144.10457  102.47734  168.67973  118.912384],"[144.83592, 167.67958, 103.439674, 119.87427]",3.3660638332366943,0.013036012649536133,"[0.7085959324414773, 1]",7.414817810058594e-05,"[0.8299620747566223, 0.9827]",0.008427858352661133
1,backward (CROWN),23,0.01,False,brightness,"[[138.45216, 100.46334, 162.07063, 116.261696], [153.62105, 106.70528, 178.99316, 123.62875]]","[153.62105, 106.70528, 178.99316, 123.62875]","[138.45216, 100.46334, 162.07063, 116.261696]",[144.10457  102.47734  168.67973  118.912384],"[153.62105, 162.07063, 106.70528, 116.261696]",7.498409032821655,0.014374017715454102,"[0.06396902232445881, 1]",7.677078247070312e-05,"[0.19992324709892273, 1.0]",0.009382247924804688
2,backward (CROWN),23,0.02,True,brightness,"[[106.67897, 91.66226, 125.766914, 105.82209], [187.27414, 122.093834, 217.12943, 139.62733]]","[187.27414, 122.093834, 217.12943, 139.62733]","[106.67897, 91.66226, 125.766914, 105.82209]",[144.10457  102.47734  168.67973  118.912384],"[0, 162.07063, 0, 0]",12.93363618850708,0.001611948013305664,"[0, 1]",0.0,"[0, 1]",0.0
