,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,optim_box,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),160,0.002,False,brightness,"[[144.83022, 134.34547, 155.38599, 140.09422], [146.54794, 135.19069, 157.42644, 141.11661]]","[146.54794, 135.19069, 157.42644, 141.11661]","[144.83022, 134.34547, 155.38599, 140.09422]",[144.73203 133.51057 155.50327 139.40785],"[146.54794, 141.11661, 135.19069, 141.11661]",3.275979995727539,0.013638734817504883,"[0.33415267867512843, 1]",7.390975952148438e-05,"[0.41859951615333557, 0.7626473]",0.008862018585205078
1,backward (CROWN),160,0.01,True,brightness,"[[140.00174, 132.30846, 149.93224, 137.66731], [151.23381, 137.36452, 162.7748, 143.66617]]","[151.23381, 137.36452, 162.7748, 143.66617]","[140.00174, 132.30846, 149.93224, 137.66731]",[144.73203 133.51057 155.50327 139.40785],"[0, 0, 0, 0]",8.20281195640564,0.0016100406646728516,"[0, 1]",0.0,"[0, 1]",0.0
2,backward (CROWN),160,0.02,True,brightness,"[[130.16629, 128.72235, 139.27158, 133.39091], [161.28136, 141.69498, 173.80663, 148.48318]]","[161.28136, 141.69498, 173.80663, 148.48318]","[130.16629, 128.72235, 139.27158, 133.39091]",[144.73203 133.51057 155.50327 139.40785],"[0, 0, 0, 0]",11.505001068115234,0.0015728473663330078,"[0, 1]",0.0,"[0, 1]",0.0
