,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),2,0.0,False,brightness,"[[65.2478, 91.63695, 90.06029, 112.29341], [65.2478, 91.63695, 90.06029, 112.29341]]","[65.2478, 91.63695, 90.06029, 112.29341]","[65.2478, 91.63695, 90.06029, 112.29341]",[ 64.732025  91.16616   89.51634  111.75831 ],0.38926196098327637,0.011294841766357422,"[0.9134497259389366, 0.9134497259389366]",0.0001418590545654297,"[0.9134497046470642, 0.9134497]",0.009348154067993164
1,backward (CROWN),2,0.01,False,brightness,"[[64.29481, 90.57147, 88.87727, 110.835236], [66.51157, 93.141975, 92.24439, 114.23789]]","[66.51157, 93.141975, 92.24439, 114.23789]","[64.29481, 90.57147, 88.87727, 110.835236]",[ 64.732025  91.16616   89.51634  111.75831 ],7.272777080535889,0.010584115982055664,"[0.5098811063334774, 1]",7.104873657226562e-05,"[0.6852720975875854, 1.0]",0.008454084396362305
2,backward (CROWN),2,0.02,False,brightness,"[[58.259987, 87.783745, 83.99629, 106.664536], [81.473465, 100.209274, 108.551575, 122.10954]]","[81.473465, 100.209274, 108.551575, 122.10954]","[58.259987, 87.783745, 83.99629, 106.664536]",[ 64.732025  91.16616   89.51634  111.75831 ],10.365265130996704,0.011211156845092773,"[0.007334573546132956, 1]",6.723403930664062e-05,"[0.031909700483083725, 1.0]",0.009180784225463867
3,backward (CROWN),2,0.03,True,brightness,"[[30.942453, 76.09543, 56.702595, 91.50512], [134.62119, 123.74663, 165.198, 147.54724]]","[134.62119, 123.74663, 165.198, 147.54724]","[30.942453, 76.09543, 56.702595, 91.50512]",[ 64.732025  91.16616   89.51634  111.75831 ],14.993044137954712,0.0014538764953613281,"[0, 1]",0.0,"[0, 1]",0.0
4,backward (CROWN),2,0.04,True,brightness,"[[0, 33.78067, 0, 50.027702], [250.60992, 180.22462, 256, 210.00612]]","[250.60992, 180.22462, 256, 210.00612]","[0, 33.78067, 0, 50.027702]",[ 64.732025  91.16616   89.51634  111.75831 ],18.434937000274658,0.0014929771423339844,"[0, 1]",0.0,"[0, 1]",0.0
5,backward (CROWN),2,0.05,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[ 64.732025  91.16616   89.51634  111.75831 ],20.02942204475403,0.0017333030700683594,"[0, 1]",0.0,"[0, 1]",0.0
6,backward (CROWN),2,0.06,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[ 64.732025  91.16616   89.51634  111.75831 ],22.426549911499023,0.0017538070678710938,"[0, 1]",0.0,"[0, 1]",0.0
7,backward (CROWN),2,0.07,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[ 64.732025  91.16616   89.51634  111.75831 ],21.04162311553955,0.0014431476593017578,"[0, 1]",0.0,"[0, 1]",0.0
8,backward (CROWN),2,0.08,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[ 64.732025  91.16616   89.51634  111.75831 ],23.262284755706787,0.0016407966613769531,"[0, 1]",0.0,"[0, 1]",0.0
9,backward (CROWN),2,0.09,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[ 64.732025  91.16616   89.51634  111.75831 ],25.05767297744751,0.0015349388122558594,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),2,0.1,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[ 64.732025  91.16616   89.51634  111.75831 ],29.287899017333984,0.0015218257904052734,"[0, 1]",0.0,"[0, 1]",0.0
