,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),2,0.0,False,contrast,"[[65.2478, 91.63695, 90.06029, 112.29341], [65.2478, 91.63695, 90.06029, 112.29341]]",0.389636754989624,0.009766101837158203,"[0.9134497259389366, 0.9134497259389366]",6.175041198730469e-05,"[0.9134497046470642, 0.9134497]",0.007898092269897461
1,backward (CROWN),2,0.01,False,contrast,"[[64.79845, 91.318825, 89.70291, 111.964806], [65.70796, 91.96926, 90.42691, 112.63531]]",3.3476569652557373,0.010809898376464844,"[0.8046530291696583, 1]",7.319450378417969e-05,"[0.8565340638160706, 0.972854]",0.008645772933959961
2,backward (CROWN),2,0.02,False,contrast,"[[64.29919, 90.96612, 89.29402, 111.59189], [66.249115, 92.35243, 90.86976, 113.033646]]",4.86565899848938,0.010709047317504883,"[0.6786251787368162, 1]",6.985664367675781e-05,"[0.7948945760726929, 1.0]",0.008564949035644531
3,backward (CROWN),2,0.03,False,contrast,"[[63.747414, 90.58078, 88.83319, 111.17681], [66.895035, 92.79262, 91.42154, 113.4953]]",5.869939088821411,0.011123895645141602,"[0.5441482829059394, 1]",7.104873657226562e-05,"[0.7282807230949402, 1.0]",0.008994102478027344
4,backward (CROWN),2,0.04,False,contrast,"[[63.132812, 90.16198, 88.308556, 110.71048], [67.66434, 93.29703, 92.10582, 114.031006]]",6.773229122161865,0.008394956588745117,"[0.42672504388180704, 1]",5.2928924560546875e-05,"[0.6573339700698853, 1.0]",0.006819963455200195
5,backward (CROWN),2,0.05,False,contrast,"[[62.46016, 89.71153, 87.72519, 110.17919], [68.56409, 93.873, 92.928085, 114.6483]]",7.474191188812256,0.011343955993652344,"[0.32624836671620316, 1]",7.581710815429688e-05,"[0.5838906168937683, 1.0]",0.009138107299804688
6,backward (CROWN),2,0.06,False,contrast,"[[61.70639, 89.19902, 87.05594, 109.59058], [69.60277, 94.52019, 93.90878, 115.34912]]",7.885891675949097,0.011411190032958984,"[0.24143429091594426, 1]",7.081031799316406e-05,"[0.5097920894622803, 1.0]",0.009246110916137695
7,backward (CROWN),2,0.07,False,contrast,"[[60.863087, 88.59268, 86.29549, 108.93074], [70.88408, 95.250786, 95.13155, 116.1469]]",8.035612106323242,0.011075019836425781,"[0.169505930900058, 1]",7.510185241699219e-05,"[0.4130934774875641, 1.0]",0.008905887603759766
8,backward (CROWN),2,0.08,False,contrast,"[[59.89183, 87.934875, 85.41334, 108.19763], [72.36104, 96.070114, 96.55727, 117.04198]]",9.238940954208374,0.01137995719909668,"[0.11152861167035238, 1]",7.390975952148438e-05,"[0.31015610694885254, 1.0]",0.009217023849487305
9,backward (CROWN),2,0.09,False,contrast,"[[58.82094, 87.233765, 84.4261, 107.400734], [74.03574, 96.974144, 98.178856, 118.02849]]",9.54390287399292,0.011095046997070312,"[0.06712090905048132, 1]",7.414817810058594e-05,"[0.2122727334499359, 1.0]",0.008844852447509766
10,backward (CROWN),2,0.1,False,contrast,"[[57.632835, 86.4552, 83.31364, 106.504715], [75.9152, 97.95937, 100.03402, 119.11701]]",10.478387117385864,0.010834932327270508,"[0.03450917386507218, 1]",7.319450378417969e-05,"[0.12387704849243164, 1.0]",0.00866389274597168
