,method,image_id,eps_contrast,eps_contrast_CROWN,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,2,0.0,0.0,False,contrast,"[[65.24769, 91.63693, 90.06032, 112.29337], [65.24769, 91.63693, 90.06032, 112.29337]]",0.24065113067626953,0.011031627655029297,"[0.9134552710145094, 0.9134552710145094]",7.176399230957031e-05,"[0.9134552478790283, 0.91345525]",0.008951187133789062
1,IBP,2,0.0001,0.0001,False,contrast,"[[62.48446, 89.36918, 87.31276, 109.89826], [68.031784, 93.92013, 92.84509, 114.64124]]",0.18966293334960938,0.009865999221801758,"[0.3177448200668037, 1]",8.296966552734375e-05,"[0.597629189491272, 1.0]",0.007865667343139648
2,IBP,2,0.0002,0.0002,False,contrast,"[[59.768845, 87.136665, 84.647675, 107.50674], [70.81483, 96.2024, 95.628525, 116.88354]]",0.2280740737915039,0.011651754379272461,"[0.11006594758218691, 1]",7.510185241699219e-05,"[0.30639246106147766, 1.0]",0.009515047073364258
3,IBP,2,0.00030000000000000003,0.00030000000000000003,False,contrast,"[[57.04368, 84.89467, 81.97905, 105.10114], [73.65181, 98.51265, 98.47598, 119.15809]]",0.21443486213684082,0.010225296020507812,"[0.02925905311125183, 1]",7.009506225585938e-05,"[0.10750003159046173, 1.0]",0.008163928985595703
4,IBP,2,0.0004,0.0004,False,contrast,"[[54.27455, 82.59857, 79.30395, 102.58162], [76.81062, 100.98689, 101.705986, 121.60538]]",0.21812033653259277,0.011785030364990234,"[0.0016872954096389, 1]",7.104873657226562e-05,"[0.0077908774837851524, 1.0]",0.009731769561767578
5,IBP,2,0.0005,0.0005,True,contrast,"[[51.504326, 80.30139, 76.62766, 100.01089], [79.9924, 103.4939, 104.95234, 124.05601]]",0.22882771492004395,0.0016028881072998047,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,2,0.0006000000000000001,0.0006000000000000001,True,contrast,"[[48.727047, 77.97532, 73.94483, 97.41464], [83.27181, 106.01818, 108.29327, 126.53703]]",0.22324299812316895,0.0015170574188232422,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,2,0.0007,0.0007,True,contrast,"[[45.948467, 75.581764, 71.22971, 94.7309], [86.88055, 108.60642, 111.91096, 129.12666]]",0.21218276023864746,0.0016262531280517578,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,2,0.0008,0.0008,True,contrast,"[[43.21047, 73.2274, 68.50854, 92.04857], [90.50728, 111.199554, 115.48621, 131.74222]]",0.21415185928344727,0.001499176025390625,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,2,0.0009000000000000001,0.0009000000000000001,True,contrast,"[[40.525826, 70.844, 65.797386, 89.33179], [94.28166, 113.77709, 119.11855, 134.49492]]",0.20923495292663574,0.0014221668243408203,"[0, 1]",0.0,"[0, 1]",0.0
