,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
22,IBP,0,0.00014000000000000001,0.07,True,brightness,"[[121.40105, 112.61872, 126.54839, 115.063324], [150.82854, 136.43051, 156.56837, 140.13397]]",0.5293710231781006,0.00279998779296875,"[0, 1]",0.0,"[0, 1]",0.0
23,IBP,0,0.00014000000000000001,0.07,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5293710231781006,0.004050016403198242,"[0, 1]",0.0,"[0, 1]",0.0
24,IBP,0,0.00016,0.08,True,whitenoise,"[[119.13162, 110.885666, 124.32465, 113.346924], [152.89249, 138.1108, 158.75443, 142.02264]]",0.524724006652832,0.001425027847290039,"[0, 1]",0.0,"[0, 1]",0.0
25,IBP,0,0.00016,0.08,True,brightness,"[[119.13162, 110.885666, 124.32465, 113.346924], [152.89249, 138.1108, 158.75443, 142.02264]]",0.524724006652832,0.0025200843811035156,"[0, 1]",0.0,"[0, 1]",0.0
26,IBP,0,0.00016,0.08,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.524724006652832,0.0036449432373046875,"[0, 1]",0.0,"[0, 1]",0.0
27,IBP,0,0.00018,0.09,True,whitenoise,"[[116.856674, 109.14914, 122.09557, 111.62718], [154.96034, 139.795, 160.94475, 143.91579]]",0.5136380195617676,0.001462697982788086,"[0, 1]",0.0,"[0, 1]",0.0
28,IBP,0,0.00018,0.09,True,brightness,"[[116.856674, 109.14914, 122.09557, 111.62718], [154.96034, 139.795, 160.94475, 143.91579]]",0.5136380195617676,0.0026030540466308594,"[0, 1]",0.0,"[0, 1]",0.0
29,IBP,0,0.00018,0.09,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5136380195617676,0.0037467479705810547,"[0, 1]",0.0,"[0, 1]",0.0
30,IBP,0,0.0002,0.1,True,whitenoise,"[[114.584946, 107.415405, 119.86948, 109.910286], [157.02556, 141.47723, 163.13206, 145.80672]]",0.5141570568084717,0.0014190673828125,"[0, 1]",0.0,"[0, 1]",0.0
31,IBP,0,0.0002,0.1,True,brightness,"[[114.584946, 107.415405, 119.86948, 109.910286], [157.02556, 141.47723, 163.13206, 145.80672]]",0.5141570568084717,0.002526998519897461,"[0, 1]",0.0,"[0, 1]",0.0
32,IBP,0,0.0002,0.1,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5141570568084717,0.0036821365356445312,"[0, 1]",0.0,"[0, 1]",0.0
33,IBP+backward (CROWN-IBP),0,0.0,0.0,False,whitenoise,"[[136.46396, 124.49637, 141.60565, 127.41348], [136.46396, 124.49637, 141.60565, 127.41348]]",1.0305609703063965,0.009490966796875,"[0.14676892115425358, 0.14676892115425358]",6.198883056640625e-05,"[0.14676892757415771, 0.14676893]",0.0076830387115478516
34,IBP+backward (CROWN-IBP),0,0.0,0.0,False,brightness,"[[136.46396, 124.49637, 141.60565, 127.41348], [136.46396, 124.49637, 141.60565, 127.41348]]",1.0305609703063965,0.018339872360229492,"[0.14676892115425358, 0.14676892115425358]",5.412101745605469e-05,"[0.14676892757415771, 0.14676893]",0.0073888301849365234
35,IBP+backward (CROWN-IBP),0,0.0,0.0,False,contrast,"[[136.46396, 124.49637, 141.60565, 127.41348], [136.46396, 124.49637, 141.60565, 127.41348]]",1.0305609703063965,0.026196956634521484,"[0.14676892115425358, 0.14676892115425358]",4.982948303222656e-05,"[0.14676892757415771, 0.14676893]",0.006452083587646484
36,IBP+backward (CROWN-IBP),0,2e-05,0.01,False,whitenoise,"[[136.38849, 124.46107, 141.53198, 127.37689], [136.5396, 124.53194, 141.67957, 127.45033]]",0.9743642807006836,0.009374141693115234,"[0.1328711407808451, 0.16195535379010603]",5.984306335449219e-05,"[0.1373458355665207, 0.15655503]",0.007606983184814453
37,IBP+backward (CROWN-IBP),0,2e-05,0.01,False,brightness,"[[136.45978, 124.49623, 141.60208, 127.41326], [136.46826, 124.49677, 141.60939, 127.41397]]",0.9743642807006836,0.018258094787597656,"[0.14633674263076962, 0.14715024412893593]",5.3882598876953125e-05,"[0.14650441706180573, 0.14698163]",0.007426738739013672
38,IBP+backward (CROWN-IBP),0,2e-05,0.01,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.9743642807006836,0.019343137741088867,"[0, 1]",0.0,"[0, 1]",0.0
39,IBP+backward (CROWN-IBP),0,4e-05,0.02,False,whitenoise,"[[136.30775, 124.42329, 141.45757, 127.34018], [136.61649, 124.56813, 141.75974, 127.4906]]",0.953538179397583,0.009387731552124023,"[0.11973875464618257, 0.17949586286639932]",6.198883056640625e-05,"[0.1280224621295929, 0.16732632]",0.007596015930175781
40,IBP+backward (CROWN-IBP),0,4e-05,0.02,False,brightness,"[[136.45026, 124.49355, 141.59764, 127.41283], [136.47397, 124.49784, 141.61955, 127.41795]]",0.953538179397583,0.018266916275024414,"[0.14533243431780613, 0.14829002460812346]",5.507469177246094e-05,"[0.14588433504104614, 0.14772734]",0.007417201995849609
41,IBP+backward (CROWN-IBP),0,4e-05,0.02,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.953538179397583,0.01932811737060547,"[0, 1]",0.0,"[0, 1]",0.0
42,IBP+backward (CROWN-IBP),0,6.000000000000001e-05,0.03,False,whitenoise,"[[136.20245, 124.373634, 141.38179, 127.30272], [136.695, 124.60595, 141.8685, 127.5451]]",0.9945340156555176,0.009410619735717773,"[0.1062904709285342, 0.20318517986867005]",6.127357482910156e-05,"[0.11812268942594528, 0.18127134]",0.0076029300689697266
43,IBP+backward (CROWN-IBP),0,6.000000000000001e-05,0.03,False,brightness,"[[136.41644, 124.47916, 141.59195, 127.411705], [136.48112, 124.50043, 141.65811, 127.43614]]",0.9945340156555176,0.01828479766845703,"[0.1423119387116166, 0.1527685437044461]",5.507469177246094e-05,"[0.14407992362976074, 0.1508769]",0.007411956787109375
44,IBP+backward (CROWN-IBP),0,6.000000000000001e-05,0.03,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.9945340156555176,0.019365787506103516,"[0, 1]",0.0,"[0, 1]",0.0
45,IBP+backward (CROWN-IBP),0,8e-05,0.04,False,whitenoise,"[[136.08134, 124.32385, 141.28955, 127.2652], [136.77516, 124.651, 141.97849, 127.606094]]",0.9755988121032715,0.009308099746704102,"[0.0930203984814156, 0.23194451465078852]",6.008148193359375e-05,"[0.10770007222890854, 0.19691211]",0.007534980773925781
46,IBP+backward (CROWN-IBP),0,8e-05,0.04,False,brightness,"[[136.36697, 124.464554, 141.56995, 127.41044], [136.49008, 124.51023, 141.69798, 127.460846]]",0.9755988121032715,0.018134117126464844,"[0.13764235864719926, 0.15877259363035617]",5.4836273193359375e-05,"[0.14105510711669922, 0.15486197]",0.007377147674560547
