,method,image_id,eps_contrast,eps_contrast_CROWN,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
18,IBP+backward (CROWN-IBP),1,0.0007,0.0007,False,contrast,"[[154.51643, 101.459274, 178.95607, 121.22458], [156.17905, 103.93626, 182.49442, 122.51892]]",0.3255181312561035,0.009992837905883789,"[0.5688730380688591, 1]",6.29425048828125e-05,"[0.7291566133499146, 0.98526275]",0.008102893829345703
19,IBP+backward (CROWN-IBP),1,0.0008,0.0008,False,contrast,"[[154.10193, 101.08734, 178.53677, 121.03864], [156.5409, 104.351, 182.98691, 122.830536]]",0.3509490489959717,0.009535074234008789,"[0.49173163422852845, 1]",6.29425048828125e-05,"[0.6815862059593201, 0.994931]",0.007723093032836914
20,IBP+backward (CROWN-IBP),1,0.0009000000000000001,0.0009000000000000001,False,contrast,"[[153.6801, 100.71335, 178.1096, 120.85123], [156.909, 104.77012, 183.48647, 123.147156]]",0.33020901679992676,0.009638786315917969,"[0.4225683324059823, 1]",6.222724914550781e-05,"[0.6367998123168945, 1.0]",0.007826805114746094
21,IBP+backward (CROWN-IBP),1,0.001,0.001,False,contrast,"[[153.25032, 100.29144, 177.67389, 120.649], [157.28773, 105.196434, 184.002, 123.4717]]",0.35140514373779297,0.009604930877685547,"[0.3592511917471501, 1]",6.198883056640625e-05,"[0.5941611528396606, 1.0]",0.0077550411224365234
22,backward (CROWN),1,0.0,0.0,False,contrast,"[[155.17888, 102.811485, 180.28995, 121.74541], [155.17888, 102.811485, 180.28995, 121.74541]]",0.3497931957244873,0.00951075553894043,"[0.9046069211142195, 0.9046069211142195]",5.888938903808594e-05,"[0.9046069383621216, 0.90460694]",0.0077228546142578125
23,backward (CROWN),1,0.0001,0.0001,False,contrast,"[[154.97247, 102.489006, 180.17108, 121.45477], [155.35039, 103.14785, 180.34938, 122.03782]]",3.7552709579467773,0.009863138198852539,"[0.8279306297829575, 0.9935880318618334]",6.389617919921875e-05,"[0.8674694299697876, 0.9456293]",0.007991790771484375
24,backward (CROWN),1,0.0002,0.0002,False,contrast,"[[154.60043, 102.11871, 179.87549, 121.10754], [155.64102, 103.561584, 180.54352, 122.393394]]",5.008396148681641,0.009585857391357422,"[0.721476414645595, 1]",7.700920104980469e-05,"[0.8180261254310608, 0.98985034]",0.007709980010986328
25,backward (CROWN),1,0.00030000000000000003,0.00030000000000000003,False,contrast,"[[154.07832, 101.699036, 179.42407, 120.70176], [156.06924, 104.038445, 180.87529, 122.81227]]",6.078233003616333,0.01090097427368164,"[0.5935496023604426, 1]",7.104873657226562e-05,"[0.7552566528320312, 1.0]",0.008818864822387695
26,backward (CROWN),1,0.0004,0.0004,False,contrast,"[[153.35435, 101.21398, 178.75583, 120.21684], [156.66809, 104.57861, 181.34343, 123.2959]]",6.164305925369263,0.012434959411621094,"[0.4595086258624036, 1]",8.225440979003906e-05,"[0.6806319355964661, 1.0]",0.009592056274414062
27,backward (CROWN),1,0.0005,0.0005,False,contrast,"[[152.49008, 100.761345, 177.89671, 119.736824], [157.37361, 105.17529, 182.06128, 123.83824]]",7.021529912948608,0.01137089729309082,"[0.3464398219971141, 1]",7.390975952148438e-05,"[0.6009291410446167, 1.0]",0.009203910827636719
28,backward (CROWN),1,0.0006000000000000001,0.0006000000000000001,False,contrast,"[[151.37413, 100.12945, 176.81743, 119.099396], [158.22285, 105.82887, 182.85818, 124.44082]]",7.52376914024353,0.011744976043701172,"[0.24732300463366122, 1]",7.486343383789062e-05,"[0.5150896310806274, 1.0]",0.009325981140136719
29,backward (CROWN),1,0.0007,0.0007,False,contrast,"[[150.01553, 99.39349, 175.49788, 118.38309], [159.2833, 106.55603, 183.92986, 125.11545]]",8.294418811798096,0.011153221130371094,"[0.16537190893455997, 1]",8.821487426757812e-05,"[0.40030503273010254, 1.0]",0.00897979736328125
30,backward (CROWN),1,0.0008,0.0008,False,contrast,"[[148.49506, 98.5747, 174.00421, 117.58212], [160.44412, 107.361046, 185.20088, 125.87364]]",8.990291118621826,0.011793851852416992,"[0.10323978759566543, 1]",7.462501525878906e-05,"[0.28931283950805664, 1.0]",0.009617090225219727
31,backward (CROWN),1,0.0009000000000000001,0.0009000000000000001,False,contrast,"[[146.78314, 97.67421, 172.29854, 116.69176], [161.74693, 108.21325, 186.84004, 126.67431]]",9.840764999389648,0.010167121887207031,"[0.057670680425487446, 1]",8.511543273925781e-05,"[0.18674392998218536, 1.0]",0.008099079132080078
32,backward (CROWN),1,0.001,0.001,False,contrast,"[[144.72427, 96.68141, 170.23953, 115.70053], [163.2187, 109.11702, 188.7051, 127.5317]]",10.754173040390015,0.011237144470214844,"[0.025827073088681717, 1]",7.390975952148438e-05,"[0.09648382663726807, 1.0]",0.009102106094360352
