,image_id,gt_logit,eps,fake_iou,perturbation,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,9,0,0.0,False,whitenoise,0.2235879898071289,0.009798288345336914,"[0.8948421949832807, 0.8948421949832807]",6.389617919921875e-05,"[0.8948422074317932, 0.8948422]",0.007918834686279297
1,9,0,0.005,False,whitenoise,0.22127103805541992,0.010003805160522461,"[0.8178183229140625, 0.9559929355301389]",6.389617919921875e-05,"[0.8437539935112, 0.92487735]",0.008101940155029297
2,9,0,0.01,False,whitenoise,0.2341470718383789,0.009597063064575195,"[0.6378110861634564, 1]",6.4849853515625e-05,"[0.7226474285125732, 0.9771935]",0.007809162139892578
3,9,0,0.015,False,whitenoise,0.34454774856567383,0.023566246032714844,"[0.4173022883096232, 1]",0.0001049041748046875,"[0.5751650333404541, 1.0]",0.017130136489868164
4,9,0,0.02,False,whitenoise,0.39194703102111816,0.017915964126586914,"[0.2530404429475482, 1]",9.703636169433594e-05,"[0.4334442615509033, 1.0]",0.013471126556396484
5,9,0,0.025,False,whitenoise,0.4332709312438965,0.016682147979736328,"[0.13976403099812643, 1]",0.00011014938354492188,"[0.3122314214706421, 1.0]",0.012495756149291992
6,9,0,0.03,False,whitenoise,0.395780086517334,0.011674880981445312,"[0.06849797883356025, 1]",7.867813110351562e-05,"[0.21215830743312836, 1.0]",0.009502887725830078
7,9,0,0.035,False,whitenoise,0.30466389656066895,0.018880844116210938,"[0.028289897438255964, 1]",9.870529174804688e-05,"[0.13465909659862518, 1.0]",0.01605510711669922
8,9,0,0.04,False,whitenoise,0.3772108554840088,0.018606185913085938,"[0.006885523451938381, 1]",9.703636169433594e-05,"[0.0405280701816082, 1.0]",0.014878988265991211
9,9,0,0.045,True,whitenoise,0.268186092376709,0.001310110092163086,"[0, 1]",0.0,"[0, 1]",0.0
10,9,0,0.05,True,whitenoise,0.22729110717773438,0.0013279914855957031,"[0, 1]",0.0,"[0, 1]",0.0
