,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,optim_box,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),160,0.01,True,brightness,"[[140.00174, 132.30846, 149.93224, 137.66731], [151.23381, 137.36452, 162.7748, 143.66617]]","[151.23381, 137.36452, 162.7748, 143.66617]","[140.00174, 132.30846, 149.93224, 137.66731]",[144.73203 133.51057 155.50327 139.40785],"[0, 136.8282, 0, 0]",7.42379093170166,0.0018181800842285156,"[0, 1]",0,"[0, 1]",0
1,backward (CROWN),160,0.015,True,brightness,"[[135.67456, 130.68985, 145.20622, 135.7424], [155.30763, 139.1678, 167.2896, 145.70297]]","[155.30763, 139.1678, 167.2896, 145.70297]","[135.67456, 130.68985, 145.20622, 135.7424]",[144.73203 133.51057 155.50327 139.40785],"[0, 136.8282, 0, 0]",8.644359827041626,0.0014750957489013672,"[0, 1]",0,"[0, 1]",0
2,backward (CROWN),160,0.017,True,brightness,"[[133.68713, 129.95108, 143.0373, 134.85701], [157.39832, 140.084, 169.57533, 146.72107]]","[157.39832, 140.084, 169.57533, 146.72107]","[133.68713, 129.95108, 143.0373, 134.85701]",[144.73203 133.51057 155.50327 139.40785],"[0, 136.8282, 0, 0]",9.44520902633667,0.001641988754272461,"[0, 1]",0,"[0, 1]",0
