,0,1
0,1,3.85292911529541
1,2,3.7478227615356445
2,3,3.9467036724090576
3,4,3.832153081893921
4,5,3.8367390632629395
5,6,3.9029276371002197
6,7,3.9757091999053955
7,8,4.077124834060669
8,9,3.9655442237854004
9,10,4.030860185623169
10,11,3.9793527126312256
11,12,3.9785900115966797
12,13,3.942776679992676
13,14,4.042662858963013
14,15,4.1995837688446045
15,16,3.8389711380004883
16,17,3.8205912113189697
17,18,3.81439208984375
18,19,3.7585902214050293
19,20,3.8295938968658447
20,21,3.8843507766723633
21,22,3.8777520656585693
22,23,3.989414691925049
23,24,4.107302904129028
24,25,4.1453540325164795
25,26,4.164654970169067
26,27,4.237896919250488
27,28,4.082491159439087
28,29,3.8668758869171143
29,30,4.083768844604492
30,31,4.209001064300537
31,32,3.8565001487731934
32,33,3.934478998184204
33,34,3.892380714416504
34,35,3.827633857727051
35,36,3.9318509101867676
36,37,3.9525938034057617
37,38,3.885233163833618
38,39,3.8504929542541504
39,40,3.9050228595733643
