,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
22,IBP,67,0.00014000000000000001,0.07,True,brightness,"[[125.62001, 120.18596, 135.82953, 131.12654], [162.19603, 148.2123, 173.22638, 161.11116]]",0.5388457775115967,0.0049800872802734375,"[0, 1]",0.0,"[0, 1]",0.0
23,IBP,67,0.00014000000000000001,0.07,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5388457775115967,0.007223606109619141,"[0, 1]",0.0,"[0, 1]",0.0
24,IBP,67,0.00016,0.08,True,whitenoise,"[[123.013306, 118.18779, 133.16376, 128.93146], [164.85388, 150.248, 175.95062, 163.21439]]",0.5266544818878174,0.0032262802124023438,"[0, 1]",0.0,"[0, 1]",0.0
25,IBP,67,0.00016,0.08,True,brightness,"[[123.013306, 118.18779, 133.16376, 128.93146], [164.85388, 150.248, 175.95062, 163.21439]]",0.5266544818878174,0.0053822994232177734,"[0, 1]",0.0,"[0, 1]",0.0
26,IBP,67,0.00016,0.08,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5266544818878174,0.0076410770416259766,"[0, 1]",0.0,"[0, 1]",0.0
27,IBP,67,0.00018,0.09,True,whitenoise,"[[120.39679, 116.18399, 130.48927, 126.72641], [167.52112, 152.29395, 178.6858, 165.32587]]",0.5362029075622559,0.0028574466705322266,"[0, 1]",0.0,"[0, 1]",0.0
28,IBP,67,0.00018,0.09,True,brightness,"[[120.39679, 116.18399, 130.48927, 126.72641], [167.52112, 152.29395, 178.6858, 165.32587]]",0.5362029075622559,0.0050373077392578125,"[0, 1]",0.0,"[0, 1]",0.0
29,IBP,67,0.00018,0.09,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5362029075622559,0.0072896480560302734,"[0, 1]",0.0,"[0, 1]",0.0
30,IBP,67,0.0002,0.1,True,whitenoise,"[[117.78078, 114.181496, 127.85293, 124.62189], [170.15862, 154.23041, 181.4203, 167.43744]]",0.5186805725097656,0.0028748512268066406,"[0, 1]",0.0,"[0, 1]",0.0
31,IBP,67,0.0002,0.1,True,brightness,"[[117.78078, 114.181496, 127.85293, 124.62189], [170.15862, 154.23041, 181.4203, 167.43744]]",0.5186805725097656,0.00501704216003418,"[0, 1]",0.0,"[0, 1]",0.0
32,IBP,67,0.0002,0.1,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5186805725097656,0.0072689056396484375,"[0, 1]",0.0,"[0, 1]",0.0
33,IBP+backward (CROWN-IBP),67,0.0,0.0,False,whitenoise,"[[143.83249, 134.23637, 154.4294, 146.19719], [143.83249, 134.23637, 154.4294, 146.19719]]",0.9170994758605957,0.020829439163208008,"[0.6011702752414492, 0.6011702752414492]",0.00014257431030273438,"[0.6011703014373779, 0.6011703]",0.017102956771850586
34,IBP+backward (CROWN-IBP),67,0.0,0.0,False,brightness,"[[143.83249, 134.23637, 154.4294, 146.19719], [143.83249, 134.23637, 154.4294, 146.19719]]",0.9170994758605957,0.0401768684387207,"[0.6011702752414492, 0.6011702752414492]",0.00010895729064941406,"[0.6011703014373779, 0.6011703]",0.016327381134033203
35,IBP+backward (CROWN-IBP),67,0.0,0.0,False,contrast,"[[143.83249, 134.23637, 154.4294, 146.19719], [143.83249, 134.23637, 154.4294, 146.19719]]",0.9170994758605957,0.05949711799621582,"[0.6011702752414492, 0.6011702752414492]",0.00010967254638671875,"[0.6011703014373779, 0.6011703]",0.016288042068481445
36,IBP+backward (CROWN-IBP),67,2e-05,0.01,False,whitenoise,"[[143.7367, 134.19742, 154.33179, 146.155], [143.92752, 134.27579, 154.52632, 146.23969]]",0.9079186916351318,0.022406578063964844,"[0.5762478269057729, 0.6275522067627514]",0.00013756752014160156,"[0.5875982642173767, 0.6150979]",0.017525672912597656
37,IBP+backward (CROWN-IBP),67,2e-05,0.01,False,brightness,"[[143.82735, 134.23398, 154.42464, 146.19461], [143.83685, 134.23924, 154.43349, 146.20004]]",0.9079186916351318,0.04180002212524414,"[0.5998165751219511, 0.6025659479078789]",0.00012493133544921875,"[0.6004621982574463, 0.60191727]",0.01634526252746582
38,IBP+backward (CROWN-IBP),67,2e-05,0.01,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.9079186916351318,0.04406118392944336,"[0, 1]",0.0,"[0, 1]",0.0
39,IBP+backward (CROWN-IBP),67,4e-05,0.02,False,whitenoise,"[[143.63902, 134.15616, 154.23235, 146.10965], [144.02689, 134.31615, 154.62839, 146.28346]]",0.9205224514007568,0.021241188049316406,"[0.5517429590810269, 0.656439688964101]",0.00012922286987304688,"[0.5737744569778442, 0.629823]",0.017182111740112305
40,IBP+backward (CROWN-IBP),67,4e-05,0.02,False,brightness,"[[143.82022, 134.22917, 154.41792, 146.18878], [143.84561, 134.24309, 154.44272, 146.20425]]",0.9205224514007568,0.04066658020019531,"[0.5974515274274503, 0.6048665068477689]",0.000110626220703125,"[0.5991626381874084, 0.6031326]",0.016364574432373047
41,IBP+backward (CROWN-IBP),67,4e-05,0.02,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.9205224514007568,0.042984724044799805,"[0, 1]",0.0,"[0, 1]",0.0
42,IBP+backward (CROWN-IBP),67,6.000000000000001e-05,0.03,False,whitenoise,"[[143.5398, 134.10394, 154.13118, 146.04976], [144.14105, 134.35786, 154.74908, 146.32858]]",0.9013192653656006,0.020448923110961914,"[0.5259475781869914, 0.6902401923148811]",0.0001201629638671875,"[0.5585735440254211, 0.6463912]",0.016762733459472656
43,IBP+backward (CROWN-IBP),67,6.000000000000001e-05,0.03,False,brightness,"[[143.81166, 134.21344, 154.40958, 146.16832], [143.86864, 134.24829, 154.46983, 146.20978]]",0.9013192653656006,0.039792537689208984,"[0.5921730484837472, 0.6097809293836142]",0.000110626220703125,"[0.5961198210716248, 0.60570794]",0.016318082809448242
44,IBP+backward (CROWN-IBP),67,6.000000000000001e-05,0.03,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.9013192653656006,0.04206728935241699,"[0, 1]",0.0,"[0, 1]",0.0
45,IBP+backward (CROWN-IBP),67,8e-05,0.04,False,whitenoise,"[[143.43831, 134.05157, 154.0277, 145.98944], [144.25691, 134.40051, 154.87167, 146.3744]]",0.8879845142364502,0.020422697067260742,"[0.5012632621881185, 0.7270431706769681]",0.0001239776611328125,"[0.5435291528701782, 0.6637153]",0.01671767234802246
46,IBP+backward (CROWN-IBP),67,8e-05,0.04,False,brightness,"[[143.80074, 134.1975, 154.39883, 146.14735], [143.89351, 134.25449, 154.49904, 146.21613]]",0.8879845142364502,0.03977322578430176,"[0.5864399502631167, 0.615280706981925]",0.00011181831359863281,"[0.5928077101707458, 0.6085754]",0.016307353973388672
47,IBP+backward (CROWN-IBP),67,8e-05,0.04,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.8879845142364502,0.04203176498413086,"[0, 1]",0.0,"[0, 1]",0.0
48,IBP+backward (CROWN-IBP),67,0.0001,0.05,False,whitenoise,"[[143.33484, 133.99843, 153.9224, 145.9285], [144.37433, 134.44464, 154.99582, 146.42183]]",0.8870813846588135,0.020468950271606445,"[0.4775851111998646, 0.7672737393218491]",0.0001246929168701172,"[0.5286096334457397, 0.6818428]",0.016762733459472656
49,IBP+backward (CROWN-IBP),67,0.0001,0.05,False,brightness,"[[143.78796, 134.18082, 154.3864, 146.12587], [143.91982, 134.26215, 154.52968, 146.22408]]",0.8870813846588135,0.03981494903564453,"[0.5802688627333378, 0.621349450965198]",0.00011014938354492188,"[0.589227557182312, 0.61170644]",0.016306400299072266
50,IBP+backward (CROWN-IBP),67,0.0001,0.05,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.8870813846588135,0.04208779335021973,"[0, 1]",0.0,"[0, 1]",0.0
51,IBP+backward (CROWN-IBP),67,0.00012000000000000002,0.06,False,whitenoise,"[[143.22908, 133.9448, 153.81487, 145.86723], [144.4939, 134.48999, 155.12204, 146.47113]]",0.9364032745361328,0.020486831665039062,"[0.45482172510497826, 0.8114335016735983]",0.00012254714965820312,"[0.5137754678726196, 0.700829]",0.016765832901000977
52,IBP+backward (CROWN-IBP),67,0.00012000000000000002,0.06,False,brightness,"[[143.7728, 134.16362, 154.37167, 146.104], [143.94833, 134.27109, 154.56248, 146.234]]",0.9364032745361328,0.039862871170043945,"[0.5735590410465792, 0.6280987545946783]",0.00011229515075683594,"[0.5853040814399719, 0.61514735]",0.016338825225830078
53,IBP+backward (CROWN-IBP),67,0.00012000000000000002,0.06,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.9364032745361328,0.042119741439819336,"[0, 1]",0.0,"[0, 1]",0.0
54,IBP+backward (CROWN-IBP),67,0.00014000000000000001,0.07,False,whitenoise,"[[143.12201, 133.89122, 153.70589, 145.79395], [144.62009, 134.54398, 155.25397, 146.5215]]",0.8992021083831787,0.02046346664428711,"[0.43211480212297065, 0.8613537497347205]",0.0001220703125,"[0.4983713924884796, 0.72119147]",0.016758203506469727
