,method,eps,fake_iou,perturbation,lb_box,ub_box,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),0.0,False,whitenoise,"[4.460773, 10.519734, 32.667774, 38.323174]","[4.460773, 10.519734, 32.667774, 38.323174]","[0.8089785736503224, 0.8089785736503224]",5.91278076171875e-05,"[0.8089785575866699, 0.80897856]",0.007780790328979492
1,IBP+backward (CROWN-IBP),0.0,False,whitenoise_xLxU,"[4.460773, 10.519734, 32.667774, 38.323174]","[4.460773, 10.519734, 32.667774, 38.323174]","[0.8089785736503224, 0.8089785736503224]",4.887580871582031e-05,"[0.8089785575866699, 0.80897856]",0.006858110427856445
2,IBP+backward (CROWN-IBP),0.0,False,brightness,"[4.460773, 10.519734, 32.667774, 38.323174]","[4.460773, 10.519734, 32.667774, 38.323174]","[0.8089785736503224, 0.8089785736503224]",4.506111145019531e-05,"[0.8089785575866699, 0.80897856]",0.0062351226806640625
3,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness_clamp,"[4.460773, 10.519734, 32.667774, 38.323174]","[4.460773, 10.519734, 32.667774, 38.323174]","[0.8089785736503224, 0.8089785736503224]",4.458427429199219e-05,"[0.8089785575866699, 0.80897856]",0.006331205368041992
4,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness,"[4.460773, 10.519734, 32.667774, 38.323174]","[4.460773, 10.519734, 32.667774, 38.323174]","[0.8089785736503224, 0.8089785736503224]",4.601478576660156e-05,"[0.8089785575866699, 0.80897856]",0.006175994873046875
5,IBP+backward (CROWN-IBP),0.0002,False,whitenoise,"[4.116585, 10.15106, 32.148384, 37.741]","[5.099564, 11.540553, 34.771004, 40.859634]","[0.6178405832336354, 1]",5.817413330078125e-05,"[0.7485737800598145, 0.92878264]",0.007594108581542969
6,IBP+backward (CROWN-IBP),0.0002,False,whitenoise_xLxU,"[4.116585, 10.15106, 32.148384, 37.741]","[5.099564, 11.540553, 34.771004, 40.859634]","[0.6178405832336354, 1]",6.079673767089844e-05,"[0.7485737800598145, 0.92878264]",0.0072209835052490234
7,IBP+backward (CROWN-IBP),0.0002,False,brightness,"[4.137767, 10.1881075, 32.212524, 37.82426]","[5.0887213, 11.526569, 34.753876, 40.83602]","[0.6259212126911164, 1]",4.6253204345703125e-05,"[0.7522261142730713, 0.9278733]",0.0067708492279052734
8,IBP+backward (CROWN-IBP),0.0002,False,CGT_brightness_clamp,"[4.2901073, 10.32598, 32.356625, 37.96292]","[4.7340117, 10.959046, 33.558083, 39.397]","[0.7187936851190256, 0.9457390420378005]",4.601478576660156e-05,"[0.7804808020591736, 0.87626886]",0.006345987319946289
9,IBP+backward (CROWN-IBP),0.0002,False,CGT_brightness,"[4.116585, 10.15106, 32.148384, 37.741]","[5.099564, 11.540553, 34.771004, 40.859634]","[0.6178405832336354, 1]",4.7206878662109375e-05,"[0.7485737800598145, 0.92878264]",0.0066089630126953125
10,IBP+backward (CROWN-IBP),0.0004,False,whitenoise,"[3.6564453, 9.654276, 31.512857, 37.063843]","[6.3015227, 12.963624, 37.929543, 44.25613]","[0.4283553974623419, 1]",6.389617919921875e-05,"[0.6272670030593872, 0.9756615]",0.008239269256591797
11,IBP+backward (CROWN-IBP),0.0004,False,whitenoise_xLxU,"[3.6564453, 9.654276, 31.512857, 37.063843]","[6.3015227, 12.963624, 37.929543, 44.25613]","[0.4283553974623419, 1]",5.984306335449219e-05,"[0.6272670030593872, 0.9756615]",0.007853984832763672
12,IBP+backward (CROWN-IBP),0.0004,False,brightness,"[3.6985927, 9.726388, 31.640978, 37.229134]","[6.2795854, 12.936686, 37.895603, 44.210506]","[0.43863517556690346, 1]",5.888938903808594e-05,"[0.6323360204696655, 0.9749163]",0.008534908294677734
13,IBP+backward (CROWN-IBP),0.0004,False,CGT_brightness_clamp,"[4.095158, 10.086712, 32.02771, 37.576366]","[5.086983, 11.475923, 34.63983, 40.680294]","[0.6132293914868621, 1]",5.817413330078125e-05,"[0.7472702860832214, 0.9240068]",0.007776975631713867
14,IBP+backward (CROWN-IBP),0.0004,False,CGT_brightness,"[3.6564453, 9.654276, 31.512857, 37.063843]","[6.3015227, 12.963624, 37.929543, 44.25613]","[0.4283553974623419, 1]",5.5789947509765625e-05,"[0.6272670030593872, 0.9756615]",0.007976293563842773
15,IBP+backward (CROWN-IBP),0.0006000000000000001,False,whitenoise,"[2.978851, 9.028745, 30.604, 36.189938]","[7.9105954, 14.83991, 41.8617, 48.507378]","[0.26410203357295764, 1]",6.103515625e-05,"[0.4775380790233612, 1.0]",0.007719993591308594
