,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),34,0.0,False,brightness,"[[150.16522, 82.87281, 176.35143, 96.03237], [150.16522, 82.87281, 176.35143, 96.03237]]",0.34569501876831055,0.00958704948425293,"[0.7822274796026196, 0.7822274796026196]",6.604194641113281e-05,"[0.7822274565696716, 0.78222746]",0.007750988006591797
1,IBP+backward (CROWN-IBP),34,0.002,True,brightness,"[[71.85664, 38.280693, 109.45079, 60.59997], [209.59857, 145.65839, 245.24583, 149.74423]]",0.3563992977142334,0.001399993896484375,"[0, 1]",0.0,"[0, 1]",0.0
2,IBP+backward (CROWN-IBP),34,0.004,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.36957597732543945,0.0014162063598632812,"[0, 1]",0.0,"[0, 1]",0.0
3,IBP+backward (CROWN-IBP),34,0.006,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3317580223083496,0.0014209747314453125,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP+backward (CROWN-IBP),34,0.008,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.34214091300964355,0.0014011859893798828,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP+backward (CROWN-IBP),34,0.01,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3543267250061035,0.001422882080078125,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP+backward (CROWN-IBP),34,0.012,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.380324125289917,0.0013980865478515625,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP+backward (CROWN-IBP),34,0.014,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3497607707977295,0.0014178752899169922,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP+backward (CROWN-IBP),34,0.016,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.32045602798461914,0.001415252685546875,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP+backward (CROWN-IBP),34,0.018000000000000002,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3698310852050781,0.001422882080078125,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP+backward (CROWN-IBP),34,0.02,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3478810787200928,0.0015559196472167969,"[0, 1]",0.0,"[0, 1]",0.0
