,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),13,0.0,False,brightness,"[[148.18103, 110.67352, 174.76796, 129.0299], [148.18103, 110.67352, 174.76796, 129.0299]]",0.36373305320739746,0.00972294807434082,"[0.927463564708002, 0.927463564708002]",6.4849853515625e-05,"[0.9274635910987854, 0.9274636]",0.007841110229492188
1,IBP+backward (CROWN-IBP),13,0.002,True,brightness,"[[7.877437, 36.21321, 41.908905, 64.49025], [256, 217.09387, 256, 227.29674]]",0.3504660129547119,0.0014390945434570312,"[0, 1]",0.0,"[0, 1]",0.0
2,IBP+backward (CROWN-IBP),13,0.004,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3469698429107666,0.0014069080352783203,"[0, 1]",0.0,"[0, 1]",0.0
3,IBP+backward (CROWN-IBP),13,0.006,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.36162900924682617,0.0014181137084960938,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP+backward (CROWN-IBP),13,0.008,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.35793614387512207,0.0014872550964355469,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP+backward (CROWN-IBP),13,0.01,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.35109496116638184,0.0014178752899169922,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP+backward (CROWN-IBP),13,0.012,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3494250774383545,0.0014348030090332031,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP+backward (CROWN-IBP),13,0.014,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.35500192642211914,0.0014128684997558594,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP+backward (CROWN-IBP),13,0.016,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3524496555328369,0.0014879703521728516,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP+backward (CROWN-IBP),13,0.018000000000000002,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3487720489501953,0.0014047622680664062,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP+backward (CROWN-IBP),13,0.02,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3808400630950928,0.001416921615600586,"[0, 1]",0.0,"[0, 1]",0.0
