,method,image_id,gt_logit,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
20,IBP,20,0,0.0012000000000000001,0.006,False,contrast,"[[11.360871, 55.210075, 37.345753, 80.62605], [22.624847, 66.28193, 52.79468, 90]]",0.26320314407348633,0.015651464462280273,"[0.10482863809443588, 1]",8.249282836914062e-05,"[0.2693348228931427, 1.0]",0.010589122772216797
21,IBP,20,0,0.0014,0.007,True,whitenoise,"[[0, 13.116978, 0, 22.994373], [73.994225, 90, 90, 90]]",0.25713491439819336,0.0020422935485839844,"[0, 1]",0.0,"[0, 1]",0.0
22,IBP,20,0,0.0014,0.007,True,brightness,"[[0, 13.116978, 0, 22.994373], [73.994225, 90, 90, 90]]",0.25713491439819336,0.003462076187133789,"[0, 1]",0.0,"[0, 1]",0.0
23,IBP,20,0,0.0014,0.007,False,contrast,"[[10.475872, 54.342968, 36.144943, 79.321304], [23.581749, 67.229065, 54.10746, 90]]",0.25713491439819336,0.01605677604675293,"[0.06943655160336905, 1]",8.702278137207031e-05,"[0.19377188384532928, 1.0]",0.010752677917480469
24,IBP,20,0,0.0016,0.008,True,whitenoise,"[[0, 7.3180623, 0, 16.200176], [82.81561, 90, 90, 90]]",0.2682523727416992,0.0020897388458251953,"[0, 1]",0.0,"[0, 1]",0.0
25,IBP,20,0,0.0016,0.008,True,brightness,"[[0, 7.3180623, 0, 16.200176], [82.81561, 90, 90, 90]]",0.2682523727416992,0.003484964370727539,"[0, 1]",0.0,"[0, 1]",0.0
26,IBP,20,0,0.0016,0.008,False,contrast,"[[9.594179, 53.478176, 34.947617, 78.02587], [24.544191, 68.185555, 55.43094, 90]]",0.2682523727416992,0.01621246337890625,"[0.04345814097786812, 1]",8.7738037109375e-05,"[0.13057780265808105, 1.0]",0.010866880416870117
27,IBP,20,0,0.0018000000000000002,0.009000000000000001,True,whitenoise,"[[0, 1.4862177, 0, 9.792172], [90, 90, 90, 90]]",0.2560410499572754,0.0019075870513916016,"[0, 1]",0.0,"[0, 1]",0.0
28,IBP,20,0,0.0018000000000000002,0.009000000000000001,True,brightness,"[[0, 1.4862177, 0, 9.792172], [90, 90, 90, 90]]",0.2560410499572754,0.003304004669189453,"[0, 1]",0.0,"[0, 1]",0.0
29,IBP,20,0,0.0018000000000000002,0.009000000000000001,False,contrast,"[[8.722964, 52.621487, 33.766006, 76.747665], [25.500935, 69.14351, 56.762558, 90]]",0.2560410499572754,0.01591968536376953,"[0.02497175316971407, 1]",8.177757263183594e-05,"[0.08016441017389297, 1.0]",0.010744571685791016
30,IBP,20,0,0.002,0.01,True,whitenoise,"[[0, 0, 0, 4.4144025], [90, 90, 90, 90]]",0.26935482025146484,0.0018703937530517578,"[0, 1]",0.0,"[0, 1]",0.0
31,IBP,20,0,0.002,0.01,True,brightness,"[[0, 0, 0, 4.4144025], [90, 90, 90, 90]]",0.26935482025146484,0.0032808780670166016,"[0, 1]",0.0,"[0, 1]",0.0
32,IBP,20,0,0.002,0.01,False,contrast,"[[7.844913, 51.76023, 32.577427, 75.463486], [26.467556, 70.11703, 58.110554, 90]]",0.26935482025146484,0.016871929168701172,"[0.012218594630150624, 1]",8.273124694824219e-05,"[0.04166603460907936, 1.0]",0.011658191680908203
33,IBP+backward (CROWN-IBP),20,0,0.0,0.0,False,whitenoise,"[[16.900408, 60.642548, 44.91772, 88.869446], [16.900408, 60.642548, 44.91772, 88.869446]]",0.34351587295532227,0.014327526092529297,"[0.9096865147776734, 0.9096865147776734]",7.987022399902344e-05,"[0.9096865057945251, 0.9096865]",0.010970592498779297
34,IBP+backward (CROWN-IBP),20,0,0.0,0.0,False,brightness,"[[16.900408, 60.642548, 44.91772, 88.869446], [16.900408, 60.642548, 44.91772, 88.869446]]",0.34351587295532227,0.026070356369018555,"[0.9096865147776734, 0.9096865147776734]",6.103515625e-05,"[0.9096865057945251, 0.9096865]",0.009941577911376953
35,IBP+backward (CROWN-IBP),20,0,0.0,0.0,False,contrast,"[[16.900408, 60.642548, 44.91772, 88.869446], [16.900408, 60.642548, 44.91772, 88.869446]]",0.34351587295532227,0.03772163391113281,"[0.9096865147776734, 0.9096865147776734]",6.079673767089844e-05,"[0.9096865057945251, 0.9096865]",0.00986170768737793
36,IBP+backward (CROWN-IBP),20,0,0.0002,0.001,False,whitenoise,"[[16.322433, 59.850468, 44.13895, 87.83612], [18.406572, 63.198143, 47.731396, 90]]",0.3042604923248291,0.012848377227783203,"[0.5779490452349465, 1]",9.465217590332031e-05,"[0.7803053259849548, 1.0]",0.010488033294677734
37,IBP+backward (CROWN-IBP),20,0,0.0002,0.001,False,brightness,"[[16.376923, 59.94848, 44.239082, 87.9832], [18.388124, 63.163445, 47.705105, 90]]",0.3042604923248291,0.024705886840820312,"[0.5919798357043945, 1]",7.081031799316406e-05,"[0.7900763750076294, 1.0]",0.010031938552856445
38,IBP+backward (CROWN-IBP),20,0,0.0002,0.001,False,contrast,"[[16.892326, 60.61965, 44.91101, 88.839935], [16.907822, 60.668434, 44.92337, 88.90327]]",0.3042604923248291,0.03635859489440918,"[0.905248950161294, 0.9143278229179203]",5.984306335449219e-05,"[0.9075782895088196, 0.9119719]",0.009827136993408203
39,IBP+backward (CROWN-IBP),20,0,0.0004,0.002,False,whitenoise,"[[15.571618, 58.833057, 43.198994, 86.585724], [20.433453, 66.240005, 51.332664, 90]]",0.32108569145202637,0.013175487518310547,"[0.322688678669318, 1]",8.344650268554688e-05,"[0.5828253030776978, 1.0]",0.010761499404907227
40,IBP+backward (CROWN-IBP),20,0,0.0004,0.002,False,brightness,"[[15.680118, 59.028206, 43.39868, 86.8784], [20.39617, 66.17126, 51.28038, 90]]",0.32108569145202637,0.025411605834960938,"[0.3377441421644279, 1]",7.224082946777344e-05,"[0.5934820771217346, 1.0]",0.010324716567993164
41,IBP+backward (CROWN-IBP),20,0,0.0004,0.002,False,contrast,"[[16.883133, 60.595413, 44.901436, 88.80802], [16.921602, 60.713882, 44.94195, 88.96499]]",0.32108569145202637,0.0373377799987793,"[0.8991930170843028, 0.9226015105163038]",6.246566772460938e-05,"[0.9052290916442871, 0.91638863]",0.010117053985595703
42,IBP+backward (CROWN-IBP),20,0,0.0006000000000000001,0.003,False,whitenoise,"[[14.543248, 57.353138, 41.970737, 84.850685], [23.325142, 69.91011, 56.15751, 90]]",0.3066742420196533,0.013083219528198242,"[0.1494506559358925, 1]",8.630752563476562e-05,"[0.35532641410827637, 1.0]",0.010625123977661133
43,IBP+backward (CROWN-IBP),20,0,0.0006000000000000001,0.003,False,brightness,"[[14.7055435, 57.646534, 42.271896, 85.29092], [23.268555, 69.809715, 56.08059, 90]]",0.3066742420196533,0.024979591369628906,"[0.16089994911046276, 1]",7.176399230957031e-05,"[0.37434864044189453, 1.0]",0.010028839111328125
44,IBP+backward (CROWN-IBP),20,0,0.0006000000000000001,0.003,False,contrast,"[[16.871563, 60.57039, 44.891167, 88.775375], [16.935143, 60.758953, 44.963364, 89.02736]]",0.3066742420196533,0.03661465644836426,"[0.8929067332266192, 0.9294808679585298]",6.175041198730469e-05,"[0.9027436375617981, 0.9200582]",0.009822368621826172
45,IBP+backward (CROWN-IBP),20,0,0.0008,0.004,False,whitenoise,"[[13.411383, 55.72534, 40.638725, 82.99976], [26.681501, 73.93002, 61.80462, 90]]",0.34273433685302734,0.013410091400146484,"[0.054656474522728364, 1]",8.654594421386719e-05,"[0.16146479547023773, 1.0]",0.01087331771850586
46,IBP+backward (CROWN-IBP),20,0,0.0008,0.004,False,brightness,"[[13.626, 56.114117, 41.03702, 83.58283], [26.606459, 73.79676, 61.703297, 90]]",0.34273433685302734,0.025690078735351562,"[0.06215814135577226, 1]",7.176399230957031e-05,"[0.1801256686449051, 1.0]",0.01042318344116211
47,IBP+backward (CROWN-IBP),20,0,0.0008,0.004,False,contrast,"[[16.858778, 60.544987, 44.876232, 88.74138], [16.975819, 60.82968, 45.016945, 89.12669]]",0.34273433685302734,0.037653446197509766,"[0.8842052568316184, 0.9382356556979933]",6.127357482910156e-05,"[0.9000205397605896, 0.92540425]",0.010097742080688477
48,IBP+backward (CROWN-IBP),20,0,0.001,0.005,False,whitenoise,"[[12.097586, 53.890556, 39.11852, 80.981575], [30.473309, 78.14307, 68.126884, 90]]",0.33636474609375,0.013016223907470703,"[0.008818761782047735, 1]",8.273124694824219e-05,"[0.031300388276576996, 1.0]",0.010699272155761719
49,IBP+backward (CROWN-IBP),20,0,0.001,0.005,False,brightness,"[[12.364588, 54.370434, 39.614338, 81.70127], [30.380688, 77.98081, 68.00235, 90]]",0.33636474609375,0.02516913414001465,"[0.012574475482273882, 1]",7.176399230957031e-05,"[0.04381813481450081, 1.0]",0.010305166244506836
50,IBP+backward (CROWN-IBP),20,0,0.001,0.005,False,contrast,"[[16.842464, 60.51214, 44.85616, 88.699486], [17.01916, 60.91239, 45.078537, 89.24425]]",0.33636474609375,0.03706169128417969,"[0.8737598136871763, 0.9485666467036742]",6.29425048828125e-05,"[0.8965588212013245, 0.9315379]",0.010083675384521484
51,IBP+backward (CROWN-IBP),20,0,0.0012000000000000001,0.006,True,whitenoise,"[[10.72937, 51.899097, 37.553265, 78.85036], [34.662323, 82.641716, 75.179115, 90]]",0.32051634788513184,0.0020923614501953125,"[0, 1]",0.0,"[0, 1]",0.0
52,IBP+backward (CROWN-IBP),20,0,0.0012000000000000001,0.006,True,brightness,"[[11.052089, 52.47878, 38.15306, 79.71893], [34.552044, 82.45164, 75.03348, 90]]",0.32051634788513184,0.0034248828887939453,"[0, 1]",0.0,"[0, 1]",0.0
53,IBP+backward (CROWN-IBP),20,0,0.0012000000000000001,0.006,False,contrast,"[[16.828146, 60.47657, 44.834877, 88.65812], [17.085339, 61.036766, 45.17795, 89.41637]]",0.32051634788513184,0.01577281951904297,"[0.8586616770707322, 0.9638828244345626]",7.104873657226562e-05,"[0.8911726474761963, 0.93993676]",0.010558128356933594
54,IBP+backward (CROWN-IBP),20,0,0.0014,0.007,True,whitenoise,"[[8.875454, 49.665234, 35.47414, 76.30481], [38.730843, 86.88836, 81.87837, 90]]",0.3160543441772461,0.0018551349639892578,"[0, 1]",0.0,"[0, 1]",0.0
55,IBP+backward (CROWN-IBP),20,0,0.0014,0.007,True,brightness,"[[9.28934, 50.363895, 36.205757, 77.34904], [38.59692, 86.66544, 81.70588, 90]]",0.3160543441772461,0.0031867027282714844,"[0, 1]",0.0,"[0, 1]",0.0
56,IBP+backward (CROWN-IBP),20,0,0.0014,0.007,False,contrast,"[[16.810072, 60.432587, 44.811707, 88.60659], [17.145147, 61.147503, 45.26525, 89.57105]]",0.3160543441772461,0.015322685241699219,"[0.8395622583936667, 0.9784120235595083]",7.05718994140625e-05,"[0.8840444087982178, 0.94491035]",0.010354042053222656
57,IBP+backward (CROWN-IBP),20,0,0.0016,0.008,True,whitenoise,"[[7.321663, 47.683743, 33.83544, 74.30092], [43.157974, 90, 89.350334, 90]]",0.3022952079772949,0.0028874874114990234,"[0, 1]",0.0,"[0, 1]",0.0
58,IBP+backward (CROWN-IBP),20,0,0.0016,0.008,True,brightness,"[[7.8007536, 48.480522, 34.677876, 75.483864], [43.012222, 90, 89.16224, 90]]",0.3022952079772949,0.004300594329833984,"[0, 1]",0.0,"[0, 1]",0.0
59,IBP+backward (CROWN-IBP),20,0,0.0016,0.008,False,contrast,"[[16.786476, 60.388298, 44.78299, 88.55521], [17.212225, 61.29092, 45.374626, 89.77745]]",0.3022952079772949,0.01735210418701172,"[0.8168342586852447, 0.9964661540780944]",8.225440979003906e-05,"[0.875189483165741, 0.9509114]",0.011232376098632812
60,IBP+backward (CROWN-IBP),20,0,0.0018000000000000002,0.009000000000000001,True,whitenoise,"[[5.6428566, 45.362167, 32.05812, 71.879944], [48.220425, 90, 90, 90]]",0.31162190437316895,0.0018181800842285156,"[0, 1]",0.0,"[0, 1]",0.0
61,IBP+backward (CROWN-IBP),20,0,0.0018000000000000002,0.009000000000000001,True,brightness,"[[6.174138, 46.242123, 32.99063, 73.18514], [48.05482, 90, 90, 90]]",0.31162190437316895,0.0031909942626953125,"[0, 1]",0.0,"[0, 1]",0.0
62,IBP+backward (CROWN-IBP),20,0,0.0018000000000000002,0.009000000000000001,False,contrast,"[[16.749619, 60.34867, 44.736027, 88.50198], [17.281986, 61.453194, 45.49413, 90]]",0.31162190437316895,0.01578974723815918,"[0.7919711592102235, 1]",8.273124694824219e-05,"[0.8652181671450048, 0.9573828]",0.010737180709838867
63,IBP+backward (CROWN-IBP),20,0,0.002,0.01,True,whitenoise,"[[4.3740835, 43.299583, 30.672867, 69.746025], [53.11905, 90, 90, 90]]",0.3208925724029541,0.0018427371978759766,"[0, 1]",0.0,"[0, 1]",0.0
64,IBP+backward (CROWN-IBP),20,0,0.002,0.01,True,brightness,"[[4.95247, 44.27307, 31.702814, 71.195595], [52.93603, 90, 90, 90]]",0.3208925724029541,0.003201723098754883,"[0, 1]",0.0,"[0, 1]",0.0
65,IBP+backward (CROWN-IBP),20,0,0.002,0.01,False,contrast,"[[16.71478, 60.30928, 44.70117, 88.45636], [17.375874, 61.68327, 45.64994, 90]]",0.3208925724029541,0.015441417694091797,"[0.7701438970463556, 1]",8.225440979003906e-05,"[0.8610477968445118, 0.9659664]",0.010417461395263672
66,backward (CROWN),20,0,0.0,0.0,False,whitenoise,"[[16.900408, 60.642548, 44.91772, 88.869446], [16.900408, 60.642548, 44.91772, 88.869446]]",1.424666404724121,0.015045166015625,"[0.9096865147776734, 0.9096865147776734]",8.392333984375e-05,"[0.9096865057945251, 0.9096865]",0.01128530502319336
67,backward (CROWN),20,0,0.0,0.0,False,brightness,"[[16.900408, 60.642548, 44.91772, 88.869446], [16.900408, 60.642548, 44.91772, 88.869446]]",1.424666404724121,0.026918649673461914,"[0.9096865147776734, 0.9096865147776734]",6.127357482910156e-05,"[0.9096865057945251, 0.9096865]",0.010056018829345703
68,backward (CROWN),20,0,0.0,0.0,False,contrast,"[[16.900408, 60.642548, 44.91772, 88.869446], [16.900408, 60.642548, 44.91772, 88.869446]]",1.424666404724121,0.038782596588134766,"[0.9096865147776734, 0.9096865147776734]",6.151199340820312e-05,"[0.9096865057945251, 0.9096865]",0.010063886642456055
69,backward (CROWN),20,0,0.0002,0.001,False,whitenoise,"[[16.380203, 59.91887, 44.18295, 87.889534], [18.130157, 62.804634, 47.240574, 90]]",6.19411563873291,0.015224933624267578,"[0.6172478872918638, 1]",0.00010061264038085938,"[0.7964719533920288, 1.0]",0.011586904525756836
70,backward (CROWN),20,0,0.0002,0.001,False,brightness,"[[16.745865, 60.41258, 44.685104, 88.551025], [17.258535, 61.2747, 45.60256, 89.82551]]",6.19411563873291,0.027223587036132812,"[0.8043772667579047, 1]",6.318092346191406e-05,"[0.8702421188354492, 0.96037424]",0.010174036026000977
71,backward (CROWN),20,0,0.0002,0.001,False,contrast,"[[16.89684, 60.6211, 44.91588, 88.842], [16.904066, 60.6639, 44.91909, 88.896774]]",6.19411563873291,0.0391535758972168,"[0.9062053098536496, 0.9131671596302461]",6.222724914550781e-05,"[0.9079900979995728, 0.9113664]",0.01012110710144043
72,backward (CROWN),20,0,0.0004,0.002,False,whitenoise,"[[15.729574, 59.047768, 43.31913, 86.76135], [19.781582, 65.53675, 50.279102, 90]]",12.215315103530884,0.015193462371826172,"[0.3690141675883303, 1]",0.00010085105895996094,"[0.6361011862754822, 1.0]",0.011543512344360352
73,backward (CROWN),20,0,0.0004,0.002,False,brightness,"[[16.58969, 60.179462, 44.449356, 88.22795], [17.61921, 61.91228, 46.29408, 90]]",12.215315103530884,0.027497529983520508,"[0.7147824671020032, 1]",7.343292236328125e-05,"[0.8428242540128575, 0.9865828]",0.010367631912231445
74,backward (CROWN),20,0,0.0004,0.002,False,contrast,"[[16.893272, 60.599617, 44.913994, 88.81456], [16.907795, 60.685238, 44.920456, 88.92409]]",12.215315103530884,0.03944802284240723,"[0.90273979993233, 0.9166688808730894]",6.270408630371094e-05,"[0.9062941074371338, 0.91305035]",0.010144472122192383
75,backward (CROWN),20,0,0.0006000000000000001,0.003,False,whitenoise,"[[14.630312, 57.730545, 41.9845, 85.122185], [22.00684, 68.7846, 54.14693, 90]]",19.571563005447388,0.015129804611206055,"[0.18835877169673598, 1]",9.965896606445312e-05,"[0.4163096249103546, 1.0]",0.011568307876586914
76,backward (CROWN),20,0,0.0006000000000000001,0.003,False,brightness,"[[16.394737, 59.898823, 44.165615, 87.84546], [18.061672, 62.67513, 47.12784, 90]]",19.571563005447388,0.02742457389831543,"[0.6245331303137803, 1]",7.343292236328125e-05,"[0.7988757491111755, 1.0]",0.010376453399658203
77,backward (CROWN),20,0,0.0006000000000000001,0.003,False,contrast,"[[16.8897, 60.578163, 44.91203, 88.7871], [16.911684, 60.706596, 44.921867, 88.95142]]",19.571563005447388,0.039389848709106445,"[0.8992860144338485, 0.9202028336705684]",6.29425048828125e-05,"[0.9045987725257874, 0.9147453]",0.0101470947265625
78,backward (CROWN),20,0,0.0008,0.004,False,whitenoise,"[[13.526997, 56.294865, 40.546284, 83.33584], [24.744083, 72.37785, 58.75382, 90]]",25.223934173583984,0.018538475036621094,"[0.08109731683065124, 1]",0.00010085105895996094,"[0.22086770832538605, 1.0]",0.014961957931518555
