,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),23,0.0,False,brightness,"[[144.02527, 103.067696, 168.4951, 119.42739], [144.02527, 103.067696, 168.4951, 119.42739]]","[144.02527, 103.067696, 168.4951, 119.42739]","[144.02527, 103.067696, 168.4951, 119.42739]",[144.10457  102.47734  168.67973  118.912384],0.4377422332763672,0.011803865432739258,"[0.9250941309149872, 0.9250941309149872]",7.605552673339844e-05,"[0.9250941276550293, 0.9250941]",0.009499073028564453
1,backward (CROWN),23,0.002,False,brightness,"[[143.33032, 102.69423, 167.67958, 118.98101], [144.83592, 103.439674, 169.42848, 119.87427]]","[144.83592, 103.439674, 169.42848, 119.87427]","[143.33032, 102.69423, 167.67958, 118.98101]",[144.10457  102.47734  168.67973  118.912384],3.590526819229126,0.01045680046081543,"[0.7085959324414773, 1]",7.081031799316406e-05,"[0.8299620747566223, 0.9827]",0.008342981338500977
2,backward (CROWN),23,0.004,False,brightness,"[[142.51782, 102.26747, 166.73798, 118.470894], [146.14746, 103.94013, 170.86699, 120.46751]]","[146.14746, 103.94013, 170.86699, 120.46751]","[142.51782, 102.26747, 166.73798, 118.470894]",[144.10457  102.47734  168.67973  118.912384],4.854619026184082,0.01160573959350586,"[0.4820655706139362, 1]",7.510185241699219e-05,"[0.707217276096344, 1.0]",0.009343862533569336
3,backward (CROWN),23,0.006,False,brightness,"[[141.5601, 101.79754, 165.63602, 117.903496], [147.93271, 104.60678, 172.8068, 121.25112]]","[147.93271, 104.60678, 172.8068, 121.25112]","[141.5601, 101.79754, 165.63602, 117.903496]",[144.10457  102.47734  168.67973  118.912384],6.296045780181885,0.009688138961791992,"[0.30320526578536694, 1]",6.413459777832031e-05,"[0.5687357783317566, 1.0]",0.00786590576171875
4,backward (CROWN),23,0.008,False,brightness,"[[140.37245, 101.272026, 164.27914, 117.26609], [150.41772, 105.498764, 175.49199, 122.27977]]","[150.41772, 105.498764, 175.49199, 122.27977]","[140.37245, 101.272026, 164.27914, 117.26609]",[144.10457  102.47734  168.67973  118.912384],7.316725969314575,0.009537696838378906,"[0.16668484814690487, 1]",6.198883056640625e-05,"[0.403848260641098, 1.0]",0.007704973220825195
5,backward (CROWN),23,0.01,False,brightness,"[[138.45216, 100.46334, 162.07063, 116.261696], [153.62105, 106.70528, 178.99316, 123.62875]]","[153.62105, 106.70528, 178.99316, 123.62875]","[138.45216, 100.46334, 162.07063, 116.261696]",[144.10457  102.47734  168.67973  118.912384],7.726603031158447,0.009528160095214844,"[0.06396902232445881, 1]",6.198883056640625e-05,"[0.19992324709892273, 1.0]",0.007715940475463867
6,backward (CROWN),23,0.012,False,brightness,"[[135.86598, 99.46867, 159.09315, 115.024826], [157.44856, 108.34, 183.21594, 125.415985]]","[157.44856, 108.34, 183.21594, 125.415985]","[135.86598, 99.46867, 159.09315, 115.024826]",[144.10457  102.47734  168.67973  118.912384],8.434808015823364,0.009521961212158203,"[0.006780012500411229, 1]",6.175041198730469e-05,"[0.02721957303583622, 1.0]",0.0076313018798828125
7,backward (CROWN),23,0.014,True,brightness,"[[132.39018, 98.27345, 154.99358, 113.49743], [162.35483, 110.51058, 188.53207, 127.64144]]","[162.35483, 110.51058, 188.53207, 127.64144]","[132.39018, 98.27345, 154.99358, 113.49743]",[144.10457  102.47734  168.67973  118.912384],10.200254917144775,0.0014050006866455078,"[0, 1]",0.0,"[0, 1]",0.0
8,backward (CROWN),23,0.016,True,brightness,"[[127.72642, 96.8957, 149.16077, 111.71182], [168.56949, 113.192696, 195.28786, 130.41096]]","[168.56949, 113.192696, 195.28786, 130.41096]","[127.72642, 96.8957, 149.16077, 111.71182]",[144.10457  102.47734  168.67973  118.912384],11.54222583770752,0.001728057861328125,"[0, 1]",0.0,"[0, 1]",0.0
9,backward (CROWN),23,0.018000000000000002,True,brightness,"[[118.98133, 94.61218, 139.04744, 109.152016], [176.83202, 116.99121, 204.9317, 134.3638]]","[176.83202, 116.99121, 204.9317, 134.3638]","[118.98133, 94.61218, 139.04744, 109.152016]",[144.10457  102.47734  168.67973  118.912384],12.732614994049072,0.0014278888702392578,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),23,0.02,True,brightness,"[[106.67897, 91.66226, 125.766914, 105.82209], [187.27414, 122.093834, 217.12943, 139.62733]]","[187.27414, 122.093834, 217.12943, 139.62733]","[106.67897, 91.66226, 125.766914, 105.82209]",[144.10457  102.47734  168.67973  118.912384],14.512755870819092,0.0017061233520507812,"[0, 1]",0.0,"[0, 1]",0.0
